Farmer_ID,Crop_Type,Soil_Type,Farming_Method,Season,Farmer_Age,Land_Area_Acres,Yield_Tons
F001,Wheat,Loamy,Organic,Winter,45,12,8.5
F002,Rice,Clay,Traditional,Monsoon,38,10,7.2
F003,Maize,Sandy,Modern,Summer,42,15,9.1
F004,Cotton,Black,Organic,Summer,50,20,6.8
F005,Sugarcane,Loamy,Modern,Winter,36,18,12.5
F006,Wheat,Clay,Traditional,Winter,41,14,8
F007,Rice,Loamy,Organic,Monsoon,39,11,7.8
F008,Maize,Sandy,Modern,Summer,34,9,6.5
F009,Cotton,Black,Traditional,Summer,48,22,7.1
F010,Sugarcane,Loamy,Organic,Winter,44,16,11.8
F011,Wheat,Clay,Modern,Winter,37,13,8.7
F012,Rice,Loamy,Traditional,Monsoon,40,12,7.5
F013,Maize,Sandy,Organic,Summer,35,10,6.9
F014,Cotton,Black,Modern,Summer,52,25,8.2
F015,Sugarcane,Loamy,Traditional,Winter,46,19,12.1
F016,Wheat,Sandy,Organic,Winter,43,11,7.9
F017,Rice,Clay,Modern,Monsoon,33,14,8.4
F018,Maize,Loamy,Traditional,Summer,39,13,7
F019,Cotton,Black,Organic,Summer,47,21,7.6
F020,Sugarcane,Clay,Modern,Winter,51,23,13
F021,Wheat,Loamy,Traditional,Winter,36,10,7.4
F022,Rice,Clay,Organic,Monsoon,42,15,8.1
F023,Maize,Sandy,Modern,Summer,31,8,5.9
F024,Cotton,Black,Traditional,Summer,49,24,8
F025,Sugarcane,Loamy,Organic,Winter,45,17,12.4
F025,Sugarcane,Loamy,Organic,Winter,45,17,12.4
F026,Wheat,Clay,Modern,Winter,38,13,8.6
F027,Rice,Loamy,Traditional,Monsoon,41,16,8.8
F028,Maize,Sandy,Organic,Summer,34,9,6.2
F029,Cotton,Black,Modern,Summer,53,26,8.5
F030,Sugarcane,Clay,Traditional,Winter,47,20,12.8
F031,Wheat,Loamy,Organic,Winter,40,14,8.9
F032,Rice,Clay,Modern,Monsoon,37,12,7.7
F033,Maize,Sandy,Traditional,Summer,35,11,6.7
F034,Cotton,Black,Organic,Summer,46,18,7.4
F035,Sugarcane,Loamy,Modern,Winter,50,22,13.5
F036,Wheat,Clay,Traditional,Winter,39,15,8.3
F037,Rice,Loamy,Organic,Monsoon,44,13,8.6
F038,Maize,Sandy,Modern,Summer,32,7,5.8
F039,Cotton,Black,Traditional,Summer,54,28,8.9
F040,Sugarcane,Clay,Organic,Winter,48,21,13.2
F041,Wheat,Loamy,Modern,Winter,35,12,7.8
F042,Rice,Clay,Traditional,Monsoon,43,17,9
F043,Maize,Sandy,Organic,Summer,30,8,5.5
F044,Cotton,Black,Modern,Summer,55,30,9.2
F045,Sugarcane,Loamy,Traditional,Winter,52,24,13.8
F046,Wheat,Clay,Organic,Winter,41,16,8.4
F047,Rice,Loamy,Modern,Monsoon,36,14,8.2
F048,Maize,Sandy,Traditional,Summer,33,10,6
F049,Cotton,Black,Organic,Summer,49,23,7.9
F050,Sugarcane,Loamy,Modern,Winter,45,,
F051,Wheat,Loamy,Organic,Winter,37,13,8.2
F052,Rice,Clay,Modern,Monsoon,45,18,9.3
F053,Maize,Sandy,Traditional,Summer,32,9,6.1
F054,Cotton,Black,Organic,Summer,51,27,8.7
F055,Sugarcane,Loamy,Modern,Winter,43,20,12.9
F056,Wheat,Clay,Traditional,Winter,39,15,8.5
F057,Rice,Loamy,Organic,Monsoon,41,14,8
F058,Maize,Sandy,Modern,Summer,35,11,6.8
