Customer_ID,Branch,Account_Type,Gender,Age,Balance,Loan_Amount
C001,New York,Savings,Male,25,5200,15000
C002,Chicago,Current,Female,34,7800,25000
C003,Dallas,Savings,Male,29,6100,18000
C004,Miami,Current,Female,41,9500,32000
C005,Boston,Savings,Female,37,8200,27000
C006,Seattle,Current,Male,30,7100,22000
C007,Denver,Savings,Male,45,12000,40000
C008,Atlanta,Current,Female,39,8700,28000
C009,Phoenix,Savings,Male,27,5400,16000
C010,Houston,Current,Female,32,7600,24000
C011,Chicago,Savings,Male,28,6900,21000
C011,Chicago,Savings,Male,28,6900,21000
C012,Dallas,Current,Female,36,8100,26000
C013,Miami,Savings,Male,40,9800,34000
C014,Boston,Current,Female,44,11300,39000
C015,Seattle,Savings,Male,31,7200,22000
C016,Denver,Current,Female,35,8900,29000
C017,Atlanta,Savings,Female,26,5100,15000
C018,Phoenix,Current,Male,42,9900,35000
C019,Houston,Savings,Female,33,7400,23000
C020,New York,Current,Male,38,8600,28000
C021,Chicago,Savings,Female,46,12500,42000
C022,Dallas,Current,Male,29,6700,20000
C023,Miami,Savings,Female,41,9200,31000
C024,Boston,Current,Male,30,7300,22000
C024,Boston,Current,Male,30,7300,22000
C025,Seattle,Savings,Female,43,10400,36000
C026,Denver,Current,Male,27,5800,17000
C027,Atlanta,Savings,Female,36,7900,25000
C028,Phoenix,Current,Male,34,7700,24000
C029,Houston,Savings,Female,39,9100,30000
C030,New York,Current,Male,28,6200,18000
C031,Chicago,Savings,Female,45,11800,39000
C032,Dallas,Current,Male,37,8300,27000
C033,Miami,Savings,Female,31,7100,21000
C034,Boston,Current,Male,42,9700,33000
C035,Seattle,Savings,Female,29,,19000
C036,Denver,Current,Male,40,9300,
C037,Atlanta,Savings,Female,35,8100,
C038,Phoenix,Current,Male,33,7600,24000
C039,Houston,Savings,Female,44,11000,38000
C040,New York,Current,Male,26,5500,16000
C041,Chicago,Savings,Female,38,8800,29000
C042,Dallas,Current,Male,30,7000,21000
C043,Miami,Savings,Female,47,12900,43000
C044,Boston,Current,Male,32,,23000
C045,Seattle,Savings,Female,36,8400,27000
C046,Denver,Current,Male,41,9600,33000
C047,Atlanta,Savings,Female,28,6100,18000
C048,Phoenix,Current,Male,39,,
C101,New York,Savings,Male,25,4200,720
C102,Chicago,Current,Female,31,3800,690
C103,Dallas,Savings,Male,45,8200,810
C104,Miami,Current,Female,39,7600,780
C105,Boston,Savings,Female,22,1200,650
C106,Seattle,Current,Male,34,5400,740
C107,Denver,Savings,Male,41,6900,790
C108,Atlanta,Current,Female,29,4300,710
C109,Phoenix,Savings,Male,36,4700,730
C110,Houston,Current,Female,48,9500,820
C111,Chicago,Savings,Male,27,4500,700
C111,Chicago,Savings,Male,27,4500,700
C112,Dallas,Current,Female,33,4100,695
C113,Miami,Savings,Male,44,8100,805
C114,Boston,Current,Female,30,3900,685
C115,Seattle,Savings,Male,38,6100,760
C116,Denver,Current,Female,47,9200,835
C117,Atlanta,Savings,Female,23,1500,640
C118,Phoenix,Current,Male,35,6600,770
C119,Houston,Savings,Female,32,4200,705
C120,New York,Current,Male,50,10500,845
C121,Chicago,Savings,Female,42,7800,800
C122,Dallas,Current,Male,29,5200,735
C123,Miami,Savings,Female,37,4600,720
C124,Boston,Current,Male,46,8900,830
C124,Boston,Current,Male,46,8900,830
C125,Seattle,Savings,Female,40,7000,785
C126,Denver,Current,Male,36,7300,775
C127,Atlanta,Savings,Female,28,4800,715
C128,Phoenix,Current,Male,43,7900,800
C129,Houston,Savings,Female,31,4000,690
C130,New York,Current,Male,34,4300,710
C131,Chicago,Savings,Female,49,9800,850
C132,Dallas,Current,Male,24,1800,655
C133,Miami,Savings,Female,39,6200,765
C134,Boston,Current,Male,41,,790
C135,Seattle,Savings,Female,30,4100,700
C136,Denver,Current,Male,45,8400,
C137,Atlanta,Savings,Female,33,4400,715
C138,Phoenix,Current,Male,37,5900,750
C139,Houston,Savings,Female,52,11000,860
C140,New York,Current,Male,26,3600,680
C141,Chicago,Savings,Female,38,6800,780
C142,Dallas,Current,Male,35,4500,720
C143,Miami,Savings,Female,29,5100,730
C144,Boston,Current,Male,47,9700,840
C145,Seattle,Savings,Female,43,9100,825
C146,Denver,Current,Male,32,4200,705
C147,Atlanta,Savings,Female,40,8200,810
C148,Phoenix,Current,Male,36,5700,745
