Student_ID,Department,Gender,Age,Attendance (%),Marks,Grade
S001,Computer Science,Male,20,92,88,A
S002,Mathematics,Female,21,85,79,B
S003,Physics,Male,22,90,91,A
S004,Chemistry,Female,20,78,72,C
S005,Biology,Male,21,88,84,B
S006,Computer Science,Female,19,95,93,A
S007,Mathematics,Male,23,81,75,C
S008,Physics,Female,20,89,86,B
S009,Chemistry,Male,22,76,68,D
S010,Biology,Female,21,91,89,A
S011,Computer Science,Male,20,84,77,B
S011,Computer Science,Male,20,84,77,B
S012,Mathematics,Female,19,87,82,B
S013,Physics,Male,22,94,95,A
S014,Chemistry,Female,21,80,73,C
S015,Biology,Male,20,86,81,B
S016,Computer Science,Female,22,90,90,A
S017,Mathematics,Male,23,79,70,C
S018,Physics,Female,21,88,87,B
S019,Chemistry,Male,20,75,66,D
S020,Biology,Female,22,93,92,A
S021,Computer Science,Male,19,85,80,B
S022,Mathematics,Female,20,91,89,A
S023,Physics,Male,21,82,76,C
S024,Chemistry,Female,22,89,85,B
S024,Chemistry,Female,22,89,85,B
S025,Biology,Male,20,94,94,A
S026,Computer Science,Female,21,90,88,A
S027,Mathematics,Male,22,83,78,B
S028,Physics,Female,19,86,83,B
S029,Chemistry,Male,20,77,69,D
S030,Biology,Female,21,92,90,A
S031,Computer Science,Male,23,88,86,B
S032,Mathematics,Female,20,84,79,B
S033,Physics,Male,21,91,92,A
S034,Chemistry,Female,22,,74,C
S035,Biology,Male,20,87,82,B
S036,Computer Science,Female,21,95,,A
S037,Mathematics,Male,22,80,73,C
S038,Physics,Female,19,89,87,B
S039,Chemistry,Male,21,76,67,D
S040,Biology,Female,20,93,91,A
S041,Computer Science,Male,22,85,81,B
S042,Mathematics,Female,21,90,88,A
S043,Physics,Male,20,84,79,B
S044,Chemistry,Female,23,81,75,C
S045,Biology,Male,22,88,86,B
S046,Computer Science,Female,19,94,95,A
S047,Mathematics,Male,20,79,71,C
S048,Physics,Female,21,92,90,A
S051,Computer Science,Male,21,91,87,A
S052,Mathematics,Female,22,86,80,B
S053,Physics,Male,20,93,92,A
S054,Chemistry,Female,23,79,71,C
S055,Biology,Male,21,88,83,B
S056,Computer Science,Female,22,96,94,A
S057,Mathematics,Male,20,82,76,C
S058,Physics,Female,21,90,89,A
S059,Chemistry,Male,19,74,65,D
S060,Biology,Female,22,92,91,A
S061,Computer Science,Male,23,87,84,B
S062,Mathematics,Female,21,85,78,B
S063,Physics,Male,22,94,96,A
S064,Chemistry,Female,20,77,70,C
S065,Biology,Male,23,89,85,B
S066,Computer Science,Female,19,95,93,A
S067,Mathematics,Male,21,81,74,C
S068,Physics,Female,20,88,86,B
S069,Chemistry,Male,22,73,64,D
S070,Biology,Female,21,90,88,B
S071,Computer Science,Male,20,86,82,B
S072,Mathematics,Female,23,92,90,A
S073,Physics,Male,21,83,77,C
S074,Chemistry,Female,22,87,84,B
S075,Biology,Male,19,94,95,A
S075,Biology,Male,19,94,95,A
S076,Computer Science,Female,21,89,87,B
S077,Mathematics,Male,20,78,72,C
S078,Physics,Female,22,91,90,A
S079,Chemistry,Male,23,76,68,D
S080,Biology,Female,20,93,92,A
S081,Computer Science,Male,22,84,79,B
S082,Mathematics,Female,21,88,85,B
S083,Physics,Male,19,95,94,A
S084,Chemistry,Female,20,80,73,C
S085,Biology,Male,22,86,81,B
S086,Computer Science,Female,23,97,96,A
S087,Mathematics,Male,21,82,75,C
S088,Physics,Female,20,89,87,B
S089,Chemistry,Male,22,75,67,D
S090,Biology,Female,21,91,89,A
S091,Computer Science,Male,20,85,80,B
S092,Mathematics,Female,22,90,88,A
S093,Physics,Male,23,84,78,B
S094,Chemistry,Female,19,,72,C
S095,Biology,Male,21,87,,B
S096,Computer Science,Female,20,96,95,A
S097,Mathematics,Male,22,79,71,C
S098,Physics,Female,21,92,91,A
S099,Chemistry,Male,23,81,76,C
S100,Biology,Female,20,88,84,B
