Farm_ID,Crop,State,Rainfall ,Fertilizer_Used ,Yield ,Temperature 
F001,Wheat,Punjab,520,180,4.5,24
F002,Rice,Haryana,680,220,5.8,29
F003,Maize,Uttar Pradesh,610,190,4.9,27
F004,Cotton,Gujarat,430,160,3.8,31
F005,Sugarcane,Maharashtra,780,250,7.2,30
F006,Wheat,Rajasthan,350,150,,
F007,Rice,West Bengal,920,240,,
F008,Maize,Bihar,710,200,5.4,27
F009,Cotton,Telangana,510,180,4.2,32
F010,Sugarcane,Karnataka,690,230,6.8,29
F011,Wheat,Punjab,540,185,4.7,23
F012,Rice,Haryana,670,215,5.6,27
F013,Maize,Uttar Pradesh,600,195,5.1,26
F014,Cotton,Gujarat,420,170,3.9,30
F015,Sugarcane,Maharashtra,790,260,7.4,31
F016,Wheat,Rajasthan,360,155,3.7,25
F017,Rice,West Bengal,910,245,6.8,29
F018,Maize,Bihar,700,205,5.5,28
F019,Cotton,Telangana,500,175,4,33
F020,Sugarcane,Karnataka,680,225,6.7,30
F021,Wheat,Punjab,530,182,4.6,24
F022,Rice,Haryana,690,222,5.9,29
F023,Maize,Uttar Pradesh,620,198,5.2,27
F024,Cotton,Gujarat,440,168,4.1,31
F025,Sugarcane,Maharashtra,800,255,7.5,30
F026,Wheat,Rajasthan,370,158,3.8,26
F027,Rice,West Bengal,905,242,6.7,28
F028,Maize,Bihar,715,208,5.6,27
F029,Cotton,Telangana,515,178,4.3,32
F030,Sugarcane,Karnataka,695,228,6.9,29
F031,Wheat,Punjab,545,187,4.8,23
F032,Rice,Haryana,675,218,5.7,28
F033,Maize,Uttar Pradesh,605,192,5,26
F034,Cotton,Gujarat,425,165,3.9,30
F035,Sugarcane,Maharashtra,785,252,7.3,31
F036,Wheat,Rajasthan,355,152,3.6,25
F037,Rice,West Bengal,915,247,6.9,29
F038,Maize,Bihar,705,202,5.4,28
F039,Cotton,Telangana,505,176,4.1,33
F040,Sugarcane,Karnataka,685,226,6.8,30
F041,Wheat,Punjab,535,184,4.7,24
F042,Rice,Haryana,695,224,6,29
F043,Maize,Uttar Pradesh,615,196,5.3,27
F044,Cotton,Gujarat,435,169,4,31
F045,Sugarcane,Maharashtra,795,258,7.4,30
F046,Wheat,Rajasthan,365,156,3.7,26
F047,Rice,West Bengal,925,246,7,28
F048,Maize,Bihar,720,210,5.7,27
F049,Cotton,Telangana,520,180,4.2,32
F050,Sugarcane,Karnataka,700,230,7,29
F051,Wheat,Punjab,550,188,4.9,23
F052,Rice,Haryana,680,220,5.8,28
F053,Maize,Uttar Pradesh,610,194,5.1,26
F054,Cotton,Gujarat,430,167,3.8,30
F055,Sugarcane,Maharashtra,790,256,7.3,31
F056,Wheat,Rajasthan,375,160,3.8,25
F057,Rice,West Bengal,918,244,6.8,29
F058,Maize,Bihar,708,204,5.5,28
F059,Cotton,Telangana,512,177,4.1,33
F060,Sugarcane,Karnataka,688,227,6.9,30
F061,Wheat,Punjab,538,186,4.7,24
F062,Rice,Haryana,672,219,5.7,29
F063,Maize,Uttar Pradesh,618,197,5.2,27
F064,Cotton,Gujarat,438,171,4,31
