Influencer,Platform,Followers,Engagement_Rate,Category
Influencer_001,Instagram,250000,5.8,Fashion
Influencer_002,YouTube,420000,6.2,Technology
Influencer_003,TikTok,180000,8.5,Entertainment
Influencer_004,Instagram,350000,4.9,Fitness
Influencer_005,YouTube,600000,7.1,Gaming
Influencer_006,TikTok,220000,9.2,Dance
Influencer_007,Instagram,150000,5.5,Food
Influencer_008,YouTube,520000,6.8,Education
Influencer_009,TikTok,310000,8.1,Comedy
Influencer_010,Instagram,275000,5.2,Travel
Influencer_011,YouTube,750000,7.5,Technology
Influencer_012,TikTok,190000,8.8,Entertainment
Influencer_013,Instagram,480000,4.6,Fashion
Influencer_014,YouTube,330000,6.4,Fitness
Influencer_015,TikTok,260000,9,Dance
Influencer_016,Instagram,125000,5.9,Food
Influencer_017,YouTube,680000,7.3,Gaming
Influencer_018,TikTok,410000,8.6,Comedy
Influencer_019,Instagram,290000,5.1,Travel
Influencer_020,YouTube,900000,7.8,Education
Influencer_021,TikTok,350000,8.9,Entertainment
Influencer_022,Instagram,520000,4.8,Fashion
Influencer_023,YouTube,450000,6.7,Technology
Influencer_024,TikTok,240000,9.4,Dance
Influencer_025,Instagram,380000,5.6,Fitness
Influencer_026,YouTube,720000,7,Gaming
Influencer_027,TikTok,160000,8.3,Comedy
Influencer_028,Instagram,210000,5.4,Food
Influencer_029,YouTube,560000,6.9,Education
Influencer_030,TikTok,300000,8.7,Travel
Influencer_031,Instagram,430000,5,Fashion
Influencer_032,YouTube,800000,7.6,Technology
Influencer_033,TikTok,270000,9.1,Entertainment
Influencer_034,Instagram,340000,4.7,Fitness
Influencer_035,YouTube,620000,6.6,Gaming
Influencer_036,TikTok,200000,8.4,Dance
Influencer_037,Instagram,175000,5.7,Food
Influencer_038,YouTube,510000,6.3,Education
Influencer_039,TikTok,390000,8.9,Comedy
Influencer_040,Instagram,460000,5.3,Travel
Influencer_041,YouTube,850000,7.9,Technology
Influencer_042,TikTok,230000,9.3,Dance
Influencer_043,Instagram,320000,4.5,Fashion
Influencer_044,YouTube,700000,7.2,Gaming
Influencer_045,TikTok,280000,8,Entertainment
Influencer_046,Instagram,195000,5.6,Food
Influencer_047,YouTube,580000,6.5,Education
Influencer_048,TikTok,360000,8.8,Comedy
Influencer_049,Instagram,410000,5.4,Fitness
Influencer_050,YouTube,950000,7.7,Technology
Influencer_051,TikTok,245000,9,Dance
Influencer_052,Instagram,370000,5.2,Travel
Influencer_053,YouTube,640000,6.9,Gaming
Influencer_054,TikTok,330000,8.5,Entertainment
Influencer_055,Instagram,280000,4.9,Fashion
Influencer_056,YouTube,470000,6.1,Education
Influencer_057,TikTok,215000,8.7,Comedy
Influencer_058,Instagram,500000,5.5,Food
Influencer_059,YouTube,760000,7.4,Technology
Influencer_060,TikTok,295000,9.2,Dance
Influencer_061,Instagram,290000,5.7,Fashion
Influencer_062,YouTube,680000,7.2,Technology
Influencer_063,TikTok,260000,8.6,Entertainment
Influencer_064,Instagram,420000,5.1,Fitness
Influencer_065,YouTube,820000,7.8,Gaming
Influencer_066,TikTok,340000,9.1,Dance
Influencer_067,Instagram,180000,5.4,Food
Influencer_068,YouTube,590000,6.6,Education
Influencer_069,TikTok,375000,8.4,Comedy
Influencer_070,Instagram,310000,5,Travel
Influencer_071,YouTube,720000,7.5,Technology
Influencer_072,TikTok,225000,8.9,Entertainment
Influencer_073,Instagram,465000,4.8,Fashion
Influencer_074,YouTube,380000,6.3,Fitness
Influencer_075,TikTok,290000,9.3,Dance
Influencer_076,Instagram,140000,5.8,Food
Influencer_077,YouTube,650000,7,Gaming
Influencer_078,TikTok,430000,8.7,Comedy
Influencer_079,Instagram,350000,5.2,Travel
Influencer_080,YouTube,880000,7.9,Education
Influencer_081,TikTok,320000,8.8,Entertainment
Influencer_082,Instagram,540000,4.7,Fashion
Influencer_083,YouTube,490000,6.5,Technology
Influencer_084,TikTok,270000,9.5,Dance
Influencer_085,Instagram,390000,5.6,Fitness
Influencer_086,YouTube,740000,7.3,Gaming
Influencer_087,TikTok,175000,8.2,Comedy
Influencer_088,Instagram,230000,5.3,Food
Influencer_089,YouTube,610000,6.8,Education
Influencer_090,TikTok,315000,8.9,Travel
Influencer_091,Instagram,450000,5.1,Fashion
Influencer_092,YouTube,860000,7.6,Technology
Influencer_093,TikTok,285000,9,Entertainment
Influencer_094,Instagram,360000,4.6,Fitness
Influencer_095,YouTube,670000,6.7,Gaming
Influencer_096,TikTok,240000,8.5,Dance
Influencer_097,Instagram,165000,5.9,Food
Influencer_098,YouTube,530000,6.4,Education
Influencer_099,TikTok,400000,8.6,Comedy
Influencer_100,Instagram,470000,5.4,Travel
Influencer_101,YouTube,920000,7.7,Technology
Influencer_102,TikTok,250000,9.2,Dance
Influencer_103,Instagram,335000,4.9,Fashion
Influencer_104,YouTube,710000,7.1,Gaming
Influencer_105,TikTok,305000,8.3,Entertainment
Influencer_106,Instagram,205000,5.5,Food
Influencer_107,YouTube,600000,6.9,Education
Influencer_108,TikTok,370000,8.8,Comedy
Influencer_109,Instagram,440000,5.2,Fitness
Influencer_110,YouTube,980000,7.9,Technology
Influencer_111,TikTok,235000,9.4,Dance
Influencer_112,Instagram,385000,5.6,Travel
Influencer_113,YouTube,690000,7,Gaming
Influencer_114,TikTok,345000,8.7,Entertainment
Influencer_115,Instagram,295000,4.8,Fashion
Influencer_116,YouTube,520000,6.2,Education
Influencer_117,TikTok,210000,8.5,Comedy
Influencer_118,Instagram,515000,5.7,Food
Influencer_119,YouTube,780000,7.4,Technology
Influencer_120,TikTok,300000,9.1,Dance
Influencer_121,Instagram,305000,5.3,Fashion
Influencer_122,YouTube,840000,7.6,Technology
Influencer_123,TikTok,275000,8.9,Entertainment
Influencer_124,Instagram,395000,5,Fitness
Influencer_125,YouTube,760000,7.4,Gaming
Influencer_126,TikTok,355000,9,Dance
Influencer_127,Instagram,160000,5.6,Food
Influencer_128,YouTube,570000,6.7,Education
Influencer_129,TikTok,420000,8.5,Comedy
Influencer_130,Instagram,330000,5.2,Travel
Influencer_131,YouTube,890000,7.8,Technology
Influencer_132,TikTok,240000,9.3,Entertainment
Influencer_133,Instagram,490000,4.7,Fashion
Influencer_134,YouTube,410000,6.4,Fitness
Influencer_135,TikTok,285000,9.1,Dance
Influencer_136,Instagram,135000,5.9,Food
Influencer_137,YouTube,660000,7.2,Gaming
Influencer_138,TikTok,450000,8.8,Comedy
Influencer_139,Instagram,375000,5.4,Travel
Influencer_140,YouTube,940000,7.9,Education
Influencer_141,TikTok,325000,8.7,Entertainment
Influencer_142,Instagram,560000,4.6,Fashion
Influencer_143,YouTube,500000,6.6,Technology
Influencer_144,TikTok,255000,9.6,Dance
Influencer_145,Instagram,405000,5.5,Fitness
Influencer_146,YouTube,780000,7.1,Gaming
Influencer_147,TikTok,185000,8.4,Comedy
Influencer_148,Instagram,245000,5.1,Food
Influencer_149,YouTube,630000,6.9,Education
Influencer_150,TikTok,340000,8.6,Travel
Influencer_151,Instagram,470000,5,Fashion
Influencer_152,YouTube,910000,7.7,Technology
Influencer_153,TikTok,265000,9.2,Entertainment
Influencer_154,Instagram,350000,4.8,Fitness
Influencer_155,YouTube,700000,6.8,Gaming
Influencer_156,TikTok,230000,8.3,Dance
Influencer_157,Instagram,190000,5.7,Food
Influencer_158,YouTube,550000,6.5,Education
Influencer_159,TikTok,390000,8.9,Comedy
Influencer_160,Instagram,430000,5.3,Travel
Influencer_161,YouTube,970000,7.8,Technology
Influencer_162,TikTok,220000,9.5,Dance
Influencer_163,Instagram,365000,4.9,Fashion
