Song,Artist,Genre,Duration,Streams,Release_Year
Song_1,Artist_1,Pop,4.02,1250000,2015
Song_2,Artist_2,Rock,3.25,2100000,2018
Song_3,Artist_3,Hip-Hop,4.02,3500000,2020
Song_4,Artist_4,Jazz,3.75,980000,2012
Song_5,Artist_5,Classical,5.1,540000,2010
Song_6,Artist_6,EDM,6.5,4100000,2021
Song_7,Artist_7,Country,3.33,1850000,2017
Song_8,Artist_8,R&B,4.2,2950000,2019
Song_9,Artist_9,Reggae,3.92,860000,2014
Song_10,Artist_10,Blues,4.3,720000,2013
Song_11,Artist_11,Pop,5.05,5100000,2022
Song_12,Artist_12,Rock,3.13,2780000,2018
Song_13,Artist_13,Hip-Hop,4.58,6200000,2023
Song_14,Artist_14,Jazz,3.83,930000,2011
Song_15,Artist_15,Classical,5.47,450000,2009
Song_16,Artist_16,EDM,6.25,3950000,2021
Song_17,Artist_17,Country,3.5,1420000,2016
Song_18,Artist_18,R&B,4.17,3010000,2020
Song_19,Artist_19,Reggae,3.67,980000,2015
Song_20,Artist_20,Blues,4.37,810000,2014
Song_21,Artist_21,Pop,5.25,4750000,2022
Song_22,Artist_22,Rock,3.3,2250000,2019
Song_23,Artist_23,Hip-Hop,4.08,5400000,2021
Song_24,Artist_24,Jazz,3.6,890000,2013
Song_25,Artist_25,Classical,5,610000,2012
Song_26,Artist_26,EDM,6.8,4200000,2023
Song_27,Artist_27,Country,3.45,1670000,2018
Song_28,Artist_28,R&B,4.1,2870000,2020
Song_29,Artist_29,Reggae,3.82,950000,2016
Song_30,Artist_30,Blues,4.5,760000,2015
Song_31,Artist_31,Pop,5.2,4950000,2021
Song_32,Artist_32,Rock,3.37,2480000,2019
Song_33,Artist_33,Hip-Hop,4.25,5800000,2022
Song_34,Artist_34,Jazz,3.97,1020000,2014
Song_35,Artist_35,Classical,5.33,490000,2011
Song_36,Artist_36,EDM,6.92,4400000,2023
Song_37,Artist_37,Country,3.67,1590000,2017
Song_38,Artist_38,R&B,4.3,3120000,2021
Song_39,Artist_39,Reggae,3.7,880000,2013
Song_40,Artist_40,Blues,4.42,700000,2012
Song_41,Artist_41,Pop,5.18,5300000,2023
Song_42,Artist_42,Rock,3.2,2360000,2018
Song_43,Artist_43,Hip-Hop,4.12,6100000,2022
Song_44,Artist_44,Jazz,3.8,960000,2015
Song_45,Artist_45,Classical,5.13,580000,2010
Song_46,Artist_46,EDM,6.7,4600000,2024
Song_47,Artist_47,Country,3.58,1710000,2019
Song_48,Artist_48,R&B,4.23,3250000,2022
Song_49,Artist_49,Reggae,3.85,910000,2016
Song_50,Artist_50,Blues,4.33,790000,2014
Song_51,Artist_51,Pop,5.1,5450000,2023
Song_52,Artist_52,Rock,3.42,2520000,2019
Song_53,Artist_53,Hip-Hop,4.18,6350000,2024
Song_54,Artist_54,Jazz,3.72,980000,2015
Song_55,Artist_55,Classical,5.23,620000,2011
Song_56,Artist_56,EDM,6.6,4480000,2022
Song_57,Artist_57,Country,3.48,1760000,2018
Song_58,Artist_58,R&B,4.27,3380000,2021
Song_59,Artist_59,Reggae,3.78,940000,2016
Song_60,Artist_60,Blues,4.45,810000,2014
Song_61,Artist_61,Pop,5.3,5580000,2024
Song_62,Artist_62,Rock,3.35,2410000,2020
Song_63,Artist_63,Hip-Hop,4.05,6480000,2023
Song_64,Artist_64,Jazz,3.9,1000000,2016
Song_65,Artist_65,Classical,5.08,590000,2012
Song_66,Artist_66,EDM,6.45,4700000,2024
Song_67,Artist_67,Country,3.55,1820000,2019
Song_68,Artist_68,R&B,4.15,3490000,2022
Song_69,Artist_69,Reggae,3.65,930000,2017
Song_70,Artist_70,Blues,4.38,820000,2015
Song_71,Artist_71,Pop,5.15,5700000,2023
Song_72,Artist_72,Rock,3.28,2630000,2021
Song_73,Artist_73,Hip-Hop,4.22,6600000,2024
Song_74,Artist_74,Jazz,3.88,1010000,2014
Song_75,Artist_75,Classical,5.4,610000,2013
Song_76,Artist_76,EDM,6.75,4820000,2023
Song_77,Artist_77,Country,3.52,1880000,2020
Song_78,Artist_78,R&B,4.35,3550000,2022
Song_79,Artist_79,Reggae,3.95,920000,2018
Song_80,Artist_80,Blues,4.48,840000,2016
Song_81,Artist_81,Pop,5.35,5840000,2024
Song_82,Artist_82,Rock,3.18,2720000,2021
Song_83,Artist_83,Hip-Hop,4,6720000,2024
Song_84,Artist_84,Jazz,3.62,990000,2017
Song_85,Artist_85,Classical,5.18,630000,2014
Song_86,Artist_86,EDM,6.55,4950000,2024
Song_87,Artist_87,Country,3.4,1930000,2021
Song_88,Artist_88,R&B,4.28,3660000,2023
Song_89,Artist_89,Reggae,3.77,960000,2019
Song_90,Artist_90,Blues,4.55,850000,2017
Song_91,Artist_91,Pop,5.22,5960000,2024
Song_92,Artist_92,Rock,3.27,2810000,2022
Song_93,Artist_93,Hip-Hop,4.13,6840000,2025
Song_94,Artist_94,Jazz,3.87,1020000,2018
Song_95,Artist_95,Classical,5.12,640000,2015
Song_96,Artist_96,EDM,6.85,5070000,2025
Song_97,Artist_97,Country,3.6,1980000,2022
Song_98,Artist_98,R&B,4.32,3770000,2023
Song_99,Artist_99,Reggae,3.73,980000,2020
Song_100,Artist_100,Blues,4.4,870000,2018
Song_101,Artist_101,Pop,5.27,6080000,2025
Song_102,Artist_102,Rock,3.15,2900000,2022
Song_103,Artist_103,Hip-Hop,4.07,6960000,2025
Song_104,Artist_104,Jazz,3.57,1030000,2019
Song_105,Artist_105,Classical,5.05,650000,2016
Song_106,Artist_106,EDM,6.65,5190000,2025
Song_107,Artist_107,Country,3.38,2040000,2023
Song_108,Artist_108,R&B,4.24,3890000,2024
Song_109,Artist_109,Reggae,3.92,990000,2020
Song_110,Artist_110,Blues,4.52,890000,2019
Song_111,Artist_111,Pop,5.17,6200000,2025
Song_112,Artist_112,Rock,3.35,3010000,2023
Song_113,Artist_113,Hip-Hop,4.16,7080000,2025
Song_114,Artist_114,Jazz,3.68,1040000,2018
Song_115,Artist_115,Classical,5.25,670000,2017
Song_116,Artist_116,EDM,6.9,5310000,2025
Song_117,Artist_117,Country,3.47,2090000,2024
Song_118,Artist_118,R&B,4.29,4010000,2024
Song_119,Artist_119,Reggae,3.79,1000000,2021
Song_120,Artist_120,Blues,4.47,910000,2020
Song_121,Artist_121,Pop,5.32,6320000,2025
Song_122,Artist_122,Rock,3.22,3120000,2023
Song_123,Artist_123,Hip-Hop,4.11,7200000,2025
Song_124,Artist_124,Jazz,3.64,1050000,2019
Song_125,Artist_125,Classical,5.14,680000,2018
Song_126,Artist_126,EDM,6.4,5430000,2025
Song_127,Artist_127,Country,3.53,2140000,2024
Song_128,Artist_128,R&B,4.34,4120000,2025
Song_129,Artist_129,Reggae,3.84,1010000,2022
Song_130,Artist_130,Blues,4.56,930000,2021
Song_131,Artist_131,Pop,5.24,6440000,2025
Song_132,Artist_132,Rock,3.26,3230000,2024
Song_133,Artist_133,Hip-Hop,4.14,7320000,2025
Song_134,Artist_134,Jazz,3.74,1060000,2020
Song_135,Artist_135,Classical,5.09,690000,2019
Song_136,Artist_136,EDM,6.72,5550000,2025
Song_137,Artist_137,Country,3.46,2190000,2024
Song_138,Artist_138,R&B,4.26,4230000,2025
Song_139,Artist_139,Reggae,3.86,1020000,2022
Song_140,Artist_140,Blues,4.49,950000,2021
Song_141,Artist_141,Pop,5.19,6560000,2025
Song_142,Artist_142,Rock,3.31,3340000,2024
Song_143,Artist_143,Hip-Hop,4.06,7440000,2025
Song_144,Artist_144,Jazz,3.59,1070000,2021
Song_145,Artist_145,Classical,5.21,700000,2020
Song_146,Artist_146,EDM,6.58,5670000,2025
Song_147,Artist_147,Country,3.54,2240000,2025
Song_148,Artist_148,R&B,4.31,4340000,2025
Song_149,Artist_149,Reggae,3.76,1030000,2023
Song_150,Artist_150,Blues,4.53,970000,2022
Song_151,Artist_151,Pop,5.36,6680000,2025
Song_152,Artist_152,Rock,3.24,3450000,2024
Song_153,Artist_153,Hip-Hop,4.19,7560000,2025
Song_154,Artist_154,Jazz,3.69,1080000,2022
Song_155,Artist_155,Classical,5.11,710000,2021
Song_156,Artist_156,EDM,6.48,5790000,2025
Song_157,Artist_157,Country,3.43,2290000,2025
Song_158,Artist_158,R&B,4.36,4450000,2025
Song_159,Artist_159,Reggae,3.81,1040000,2023
Song_160,Artist_160,Blues,4.44,990000,2022
Song_161,Artist_161,Pop,5.28,6800000,2025
Song_162,Artist_162,Rock,3.29,3560000,2025
Song_163,Artist_163,Hip-Hop,4.03,7680000,2025
Song_164,Artist_164,Jazz,3.56,1090000,2022
Song_165,Artist_165,Classical,5.16,720000,2021
