Student_ID,Course,Hours_Studied,Quiz_Score,Completion_Percentage,Device,Country
S001,Python,5,78,85,Laptop,USA
S002,Data Science,8,92,95,Laptop,India
S003,Web Development,4,,,Mobile,UK
S004,Machine Learning,10,,98,Laptop,Canada
S005,Database,6,,,Tablet,Australia
S006,Python,3,65,70,Mobile,India
S007,Data Science,7,88,91,Laptop,USA
S008,Web Development,5,,,Tablet,Germany
S009,Machine Learning,9,,96,Laptop,UK
S010,Database,4,72,78,Mobile,Canada
S011,Python,6,84,87,Laptop,Australia
S012,Data Science,9,95,97,Laptop,India
S013,Web Development,3,68,72,Mobile,USA
S014,Machine Learning,8,90,93,Laptop,Germany
S015,Database,5,79,82,Tablet,UK
S016,Python,7,86,90,Laptop,Canada
S017,Data Science,10,98,99,Laptop,USA
S018,Web Development,4,74,76,Mobile,India
S019,Machine Learning,6,85,89,Tablet,Australia
S020,Database,8,91,94,Laptop,Germany
S021,Python,5,77,83,Mobile,UK
S022,Data Science,7,89,92,Laptop,Canada
S023,Web Development,6,81,86,Tablet,USA
S024,Machine Learning,9,97,98,Laptop,India
S025,Database,3,66,71,Mobile,Germany
S026,Python,8,90,93,Laptop,Australia
S027,Data Science,5,80,84,Tablet,UK
S028,Web Development,7,87,90,Laptop,Canada
S029,Machine Learning,10,99,100,Laptop,USA
S030,Database,4,73,77,Mobile,India
S031,Python,6,83,88,Laptop,Germany
S032,Data Science,8,93,95,Laptop,Australia
S033,Web Development,5,75,79,Tablet,USA
S034,Machine Learning,9,96,97,Laptop,Canada
S035,Database,7,85,89,Mobile,UK
S036,Python,4,71,74,Mobile,India
S037,Data Science,10,97,99,Laptop,USA
S038,Web Development,6,82,86,Tablet,Germany
S039,Machine Learning,8,92,94,Laptop,Australia
S040,Database,5,78,81,Mobile,Canada
S041,Python,9,91,95,Laptop,UK
S042,Data Science,6,86,89,Tablet,India
S043,Web Development,3,64,69,Mobile,USA
S044,Machine Learning,7,88,91,Laptop,Germany
S045,Database,8,90,93,Laptop,Australia
S046,Python,5,79,83,Tablet,Canada
S047,Data Science,9,94,97,Laptop,UK
S048,Web Development,4,70,74,Mobile,India
S049,Machine Learning,10,98,99,Laptop,USA
S050,Database,6,84,87,Tablet,Germany
S051,Python,7,87,91,Laptop,Australia
S052,Data Science,8,92,95,Laptop,Canada
