Student,Branch,CGPA,Interview_Score,Package (LPA),Company
S001,CSE,8.7,88,12.5,TCS
S002,ECE,7.9,82,8.5,Infosys
S003,ME,8.2,79,7.2,Wipro
S004,IT,9.1,94,16,Google
S005,CSE,8.5,90,14.5,Microsoft
S006,EE,7.6,75,6.8,TCS
S007,Civil,7.2,70,5.5,L&T
S008,CSE,9.3,96,18,Amazon
S009,ECE,8,84,9,Infosys
S010,IT,8.8,89,13.5,Accenture
S011,ME,7.5,73,6.2,Wipro
S012,CSE,9,92,15.5,Adobe
S013,EE,8.1,78,7.5,TCS
S014,ECE,8.4,86,10.5,Cognizant
S015,Civil,7.8,76,6,L&T
S016,IT,8.9,91,14,IBM
S017,CSE,9.5,97,22,Google
S018,ME,7.4,72,5.8,Mahindra
S019,ECE,8.6,87,11.5,Qualcomm
S020,IT,8.3,83,10,Infosys
S021,CSE,9.2,95,19,Microsoft
S022,EE,7.7,77,7,TCS
S023,Civil,7.1,69,5.2,L&T
S024,ECE,8.5,85,11,Intel
S025,IT,8.7,88,12.8,Accenture
S026,CSE,9.4,98,24,Amazon
S027,ME,8,80,7.5,Tata Motors
S028,EE,8.3,81,8,TCS
S029,ECE,8.9,90,13.5,Samsung
S030,IT,9,93,16.5,Adobe
S031,CSE,8.6,86,12,Infosys
S032,Civil,7.5,74,5.8,L&T
S033,ME,8.4,82,8.5,Mahindra
S034,ECE,8.8,89,13,Qualcomm
S035,IT,9.1,94,17,Microsoft
S036,CSE,9.6,99,25,Google
S037,EE,7.9,79,7.5,Wipro
S038,ECE,8.2,81,9,Cognizant
S039,ME,7.7,76,6.5,Tata Motors
S040,IT,8.9,92,15,IBM
S041,CSE,9.3,96,20,Amazon
S042,Civil,7.3,71,5.4,L&T
S043,ECE,8.5,85,10.8,Intel
S044,IT,8.6,87,12.2,Accenture
S045,CSE,9.2,93,18.5,Adobe
S046,ME,8.1,80,7.8,Mahindra
S047,EE,7.8,77,7,TCS
S048,ECE,8.7,88,12.5,Samsung
S049,IT,9,91,15.5,IBM
S050,CSE,9.5,98,23,Google
S051,ECE,8.3,82,9.5,Infosys
S052,CSE,9.1,94,17.5,Microsoft
S053,IT,8.5,86,11.5,Accenture
S054,ME,7.6,74,6.3,Tata Motors
S055,EE,8,79,7.8,TCS
S056,Civil,7.4,72,5.6,L&T
S057,CSE,9.4,97,22.5,Amazon
S058,ECE,8.8,90,13.2,Samsung
S059,IT,8.9,91,14.5,IBM
S060,ME,8.1,80,7.4,Mahindra
S061,CSE,9,92,16,Adobe
S062,EE,7.7,76,6.9,Wipro
S063,ECE,8.6,87,11.8,Qualcomm
S064,IT,8.4,84,10.5,Cognizant
S065,Civil,7.2,70,5.3,L&T
S066,CSE,9.5,98,24,Google
S067,ME,7.9,78,7,Tata Motors
S068,ECE,8.7,88,12.8,Intel
S069,IT,9.2,93,18,Microsoft
S070,EE,8.2,81,8.2,TCS
S071,CSE,8.8,89,13.8,Infosys
S072,Civil,7.5,73,5.9,L&T
S073,ECE,8.5,85,11.2,Samsung
S074,IT,9.3,96,20.5,Amazon
S075,ME,8,79,7.3,Mahindra
S076,CSE,9.6,99,26,Google
S077,EE,7.8,77,7.1,Wipro
S078,ECE,8.4,83,10,Cognizant
S079,IT,8.9,90,14.2,IBM
S080,CSE,9.1,93,17,Adobe
S081,Civil,7.6,75,6.1,L&T
