House_ID,City,Area (sq ft),Bedrooms,Price,Age_of_House
H001,Delhi,1200,2,85000,8
H002,Mumbai,1500,3,150000,5
H003,Pune,1100,2,72000,12
H004,Jaipur,1800,4,135000,6
H005,Chandigarh,1400,3,110000,10
H006,Delhi,1000,2,68000,15
H007,Mumbai,2200,4,210000,3
H008,Pune,1300,3,95000,9
H009,Jaipur,1600,3,125000,7
H010,Chandigarh,2000,4,175000,4
H011,Delhi,1250,2,88000,11
H012,Mumbai,1700,3,165000,6
H013,Pune,1150,2,78000,14
H014,Jaipur,1900,4,145000,5
H015,Chandigarh,1550,3,118000,8
H016,Delhi,1350,3,98000,13
H017,Mumbai,2500,5,260000,2
H018,Pune,1450,3,105000,10
H019,Jaipur,1750,4,140000,7
H020,Chandigarh,2100,4,185000,3
H021,Delhi,900,1,55000,18
H022,Mumbai,1600,3,155000,7
H023,Pune,1250,2,85000,12
H024,Jaipur,2000,4,165000,5
H025,Chandigarh,1450,3,112000,9
H026,Delhi,1300,3,92000,14
H027,Mumbai,2300,4,225000,4
H028,Pune,1500,3,115000,8
H029,Jaipur,1700,4,138000,6
H030,Chandigarh,1850,4,160000,5
H031,Delhi,1050,2,70000,16
H032,Mumbai,1900,4,180000,6
H033,Pune,1350,3,99000,11
H034,Jaipur,1550,3,120000,9
H035,Chandigarh,1750,4,150000,7
H036,Delhi,1450,3,105000,10
H037,Mumbai,2700,5,290000,2
H038,Pune,1200,2,80000,13
H039,Jaipur,1650,3,130000,8
H040,Chandigarh,2200,4,195000,3
H041,Delhi,1150,2,76000,15
H042,Mumbai,1800,3,170000,5
H043,Pune,1400,3,102000,12
H044,Jaipur,2100,4,175000,4
H045,Chandigarh,1600,3,122000,8
H046,Delhi,1250,2,87000,11
H047,Mumbai,2400,5,250000,3
H048,Pune,1550,3,118000,7
H049,Jaipur,1850,4,155000,6
H050,Chandigarh,1950,4,170000,4
H051,Delhi,1000,2,65000,17
H052,Mumbai,2000,4,190000,5
H053,Pune,1300,3,96000,10
H054,Jaipur,1750,4,142000,7
H055,Chandigarh,1500,3,115000,9
H056,Delhi,1400,3,100000,12
H057,Mumbai,2600,5,280000,2
H058,Pune,1600,3,125000,8
H059,Jaipur,1900,4,160000,5
H060,Chandigarh,2300,5,220000,3
H061,Delhi,950,1,58000,19
H062,Mumbai,1750,3,168000,6
H063,Pune,1250,2,83000,13
H064,Jaipur,2050,4,172000,4
H065,Chandigarh,1650,3,125000,8
H066,Delhi,1350,3,97000,11
H067,Mumbai,2800,5,310000,1
H068,Pune,1450,3,108000,9
H069,Jaipur,1800,4,148000,6
H070,Chandigarh,2150,4,190000,3
H071,Delhi,1100,2,74000,15
H072,Mumbai,1850,4,175000,5
H073,Pune,1500,3,112000,8
H074,Jaipur,1950,4,162000,5
H075,Chandigarh,1700,3,132000,7
H076,Delhi,1200,2,82000,13
H077,Mumbai,2500,5,270000,2
H078,Pune,1350,3,98000,10
H079,Jaipur,1650,3,128000,8
H080,Chandigarh,2250,4,205000,3
H081,Delhi,1050,2,69000,16
H082,Mumbai,1950,4,185000,5
H083,Pune,1400,3,104000,11
H084,Jaipur,1850,4,152000,6
H085,Chandigarh,1550,3,120000,9
H086,Delhi,1300,3,93000,12
H087,Mumbai,3000,5,350000,1
H088,Pune,1600,3,122000,7
H089,Jaipur,2000,4,168000,4
H090,Chandigarh,2350,5,230000,3
H091,Delhi,1150,2,77000,14
H092,Mumbai,2100,4,200000,4
H093,Pune,1500,3,115000,8
H094,Jaipur,1750,4,145000,7
H095,Chandigarh,1800,4,158000,6
H096,Delhi,1250,2,85000,10
H097,Mumbai,2600,5,275000,2
H098,Pune,1300,3,95000,11
H099,Jaipur,1900,4,157000,5
H100,Chandigarh,2200,4,198000,3
H101,Delhi,1000,2,66000,17
H102,Mumbai,2300,4,215000,4
H103,Pune,1450,3,107000,9
H104,Jaipur,1700,3,135000,7
H105,Chandigarh,2000,4,175000,5
H106,Delhi,1350,3,99000,12
H107,Mumbai,2900,5,330000,1
H108,Pune,1550,3,119000,8
H109,Jaipur,1800,4,150000,6
H110,Chandigarh,2400,5,240000,2
H111,Delhi,1100,2,72000,15
H112,Mumbai,2000,4,195000,5
H113,Pune,1350,3,100000,10
H114,Jaipur,1850,4,155000,6
H115,Chandigarh,1650,3,126000,8
H116,Delhi,1400,3,103000,11
H117,Mumbai,2700,5,300000,2
H118,Pune,1500,3,116000,7
H119,Jaipur,1950,4,165000,5
H120,Chandigarh,2250,4,210000,3
