"Player_ID,Sport,Gender,Team,Age,Matches_Played,Score"
"P001,Cricket,Male,Tigers,24,15,320"
"P002,Football,Male,Eagles,22,18,14"
"P003,Basketball,Female,Hawks,21,20,280"
"P004,Tennis,Female,Stars,25,12,85"
"P005,Volleyball,Male,Lions,23,16,190"
"P006,Cricket,Female,Tigers,20,14,275"
"P007,Football,Male,Eagles,26,22,18"
"P008,Basketball,Female,Hawks,24,19,310"
"P009,Tennis,Male,Stars,27,13,92"
"P010,Volleyball,Female,Lions,22,17,210"
"P011,Cricket,Male,Tigers,25,21,350"
"P011,Cricket,Male,Tigers,25,21,350"
"P012,Football,Female,Eagles,23,20,16"
"P013,Basketball,Male,Hawks,28,18,290"
"P014,Tennis,Female,Stars,21,15,78"
"P015,Volleyball,Male,Lions,24,19,225"
"P016,Cricket,Female,Tigers,22,16,260"
"P017,Football,Male,Eagles,27,23,20"
"P018,Basketball,Female,Hawks,25,21,330"
"P019,Tennis,Male,Stars,29,14,96"
"P020,Volleyball,Female,Lions,20,18,200"
"P021,Cricket,Male,Tigers,26,20,340"
"P022,Football,Female,Eagles,22,17,15"
"P023,Basketball,Male,Hawks,23,19,270"
"P024,Tennis,Female,Stars,24,16,82"
"P025,Volleyball,Male,Lions,28,22,240"
"P025,Volleyball,Male,Lions,28,22,240"
"P026,Cricket,Female,Tigers,21,15,250"
"P027,Football,Male,Eagles,25,24,22"
"P028,Basketball,Female,Hawks,26,20,320"
"P029,Tennis,Male,Stars,23,11,75"
"P030,Volleyball,Female,Lions,27,18,215"
"P031,Cricket,Male,Tigers,29,25,380"
"P032,Football,Female,Eagles,24,21,17"
"P033,Basketball,Male,Hawks,22,16,260"
"P034,Tennis,Female,Stars,26,14,88"
"P035,Volleyball,Male,Lions,25,20,230"
"P036,Cricket,Female,Tigers,23,19,300"
"P037,Football,Male,Eagles,28,26,24"
"P038,Basketball,Female,Hawks,21,17,295"
"P039,Tennis,Male,Stars,30,13,100"
"P040,Volleyball,Female,Lions,22,16,205"
"P041,Cricket,Male,Tigers,27,23,360"
"P042,Football,Female,Eagles,25,19,18"
"P043,Basketball,Male,Hawks,24,22,315"
"P044,Tennis,Female,Stars,20,12,70"
"P045,Volleyball,Male,Lions,26,21,250"
"P046,Cricket,Female,Tigers,22,18,290"
"P047,Football,Male,Eagles,29,27,26"
"P048,Basketball,Female,Hawks,23,20,"
"P049,Tennis,Male,Stars,28,,94"
"P050,Volleyball,Female,Lions,24,19,220"
"P051,Cricket,Male,Warriors,24,18,85"
"P052,Football,Female,United,22,20,78"
"P053,Basketball,Male,Kings,25,16,91"
"P054,Tennis,Female,Champions,21,14,82"
"P055,Volleyball,Male,Spikers,23,19,88"
"P056,Cricket,Female,Warriors,20,17,76"
"P057,Football,Male,United,26,22,80"
"P058,Basketball,Female,Kings,24,21,94"
"P059,Tennis,Male,Champions,28,13,"
"P060,Volleyball,Female,Spikers,22,18,90"
"P061,Cricket,Male,Warriors,27,23,92"
"P062,Football,Female,United,23,19,75"
"P063,Basketball,Male,Kings,26,17,89"
"P064,Tennis,Female,Champions,20,15,79"
"P065,Volleyball,Male,Spikers,25,20,87"
"P066,Cricket,Female,Warriors,21,16,84"
"P067,Football,Male,United,29,24,81"
"P068,Basketball,Female,Kings,22,18,93"
"P069,Tennis,Male,Champions,30,12,88"
"P070,Volleyball,Female,Spikers,24,21,91"
"P071,Cricket,Male,Warriors,26,22,86"
"P072,Football,Female,United,25,20,79"
"P073,Basketball,Male,Kings,23,,"
"P074,Tennis,Female,Champions,27,14,83"
"P075,Volleyball,Male,Spikers,28,23,95"
"P075,Volleyball,Male,Spikers,28,23,95"
"P076,Cricket,Female,Warriors,22,19,82"
"P077,Football,Male,United,31,25,77"
"P078,Basketball,Female,Kings,24,,92"
"P079,Tennis,Male,Champions,26,15,85"
"P080,Volleyball,Female,Spikers,21,17,89"
"P081,Cricket,Male,Warriors,29,26,96"
"P082,Football,Female,United,23,18,74"
"P083,Basketball,Male,Kings,27,22,88"
"P084,Tennis,Female,Champions,24,13,80"
"P085,Volleyball,Male,Spikers,26,21,86"
"P086,Cricket,Female,Warriors,20,15,78"
"P087,Football,Male,United,28,24,93"
"P088,Basketball,Female,Kings,25,19,91"
"P089,Tennis,Male,Champions,29,16,87"
"P090,Volleyball,Female,Spikers,22,18,90"
"P091,Cricket,Male,Warriors,30,27,97"
"P092,Football,Female,United,21,17,76"
"P093,Basketball,Male,Kings,24,20,89"
"P094,Tennis,Female,Champions,26,14,84"
"P095,Volleyball,Male,Spikers,27,22,92"
"P096,Cricket,Female,Warriors,23,,"
"P097,Football,Male,United,32,,79"
"P098,Basketball,Female,Kings,25,0,94"
"P099,Tennis,Male,Champions,28,15,86"
"P100,Volleyball,Female,Spikers,24,20,91"
