House_ID,Family_Size,Daily_Water_Usage,Area,Income_Group
H001,3,420,Urban,Middle
H002,5,610,Rural,High
H003,2,285,Suburban,Low
H004,6,745,Urban,High
H005,4,510,Rural,Middle
H006,5,635,Urban,High
H007,3,390,Suburban,Middle
H008,7,860,Rural,High
H009,2,310,Urban,Low
H010,4,495,Suburban,Middle
H011,5,615,Urban,High
H012,3,410,Rural,Middle
H013,6,735,Urban,High
H014,4,520,Suburban,Middle
H015,2,295,Rural,Low
H016,5,640,Urban,High
H017,3,430,Rural,Middle
H018,4,505,Urban,Middle
H019,6,770,Suburban,High
H020,2,275,Rural,Low
H021,5,625,Urban,High
H022,3,415,Suburban,Middle
H023,4,540,Rural,Middle
H024,7,890,Urban,High
H025,2,305,Suburban,Low
H026,5,655,Rural,High
H027,3,445,Urban,Middle
H028,4,515,Suburban,Middle
H029,6,780,Rural,High
H030,2,290,Urban,Low
H031,5,630,Suburban,High
H032,4,500,Rural,Middle
H033,3,405,Urban,Middle
H034,6,760,Suburban,High
H035,2,300,Rural,Low
H036,5,645,Urban,High
H037,4,525,Rural,Middle
H038,3,435,Suburban,Middle
H039,7,905,Urban,High
H040,2,280,Rural,Low
H041,5,650,Suburban,High
H042,4,530,Urban,Middle
H043,3,425,Rural,Middle
H044,6,790,Urban,High
H045,2,315,Suburban,Low
H046,5,670,Rural,High
H047,4,545,Urban,Middle
H048,3,440,Suburban,Middle
H049,6,805,Rural,High
H050,5,690,Urban,High
H051,4,520,Rural,Middle
H052,3,410,Urban,Low
H053,6,760,Suburban,High
H054,5,645,Urban,High
H055,2,295,Rural,Low
H056,4,535,Suburban,Middle
H057,3,425,Urban,Middle
H058,7,920,Rural,High
H059,5,665,Urban,High
H060,2,305,Suburban,Low
H061,4,540,Rural,Middle
H062,3,430,Urban,Middle
H063,6,785,Suburban,High
H064,5,675,Rural,High
H065,2,310,Urban,Low
H066,4,550,Suburban,Middle
H067,3,440,Rural,Middle
H068,5,685,Urban,High
H069,6,810,Suburban,High
H070,2,315,Rural,Low
H071,4,555,Urban,Middle
H072,3,435,Suburban,Middle
H073,5,695,Rural,High
H074,7,940,Urban,High
H075,2,320,Suburban,Low
H076,4,560,Rural,Middle
H077,3,445,Urban,Middle
H078,6,820,Suburban,High
H079,5,705,Rural,High
H080,2,325,Urban,Low
H081,4,565,Suburban,Middle
H082,3,450,Rural,Middle
H083,6,835,Urban,High
H084,5,715,Suburban,High
H085,2,330,Rural,Low
H086,4,570,Urban,Middle
H087,3,455,Suburban,Middle
H088,7,955,Rural,High
H089,5,725,Urban,High
H090,2,335,Suburban,Low
H091,4,575,Rural,Middle
H092,3,460,Urban,Middle
H093,6,845,Suburban,High
H094,5,735,Rural,High
H095,2,340,Urban,Low
H096,4,580,Suburban,Middle
H097,3,465,Rural,Middle
H098,6,855,Urban,High
H099,5,745,Suburban,High
H100,2,345,Rural,Low
H101,3,470,Urban,Middle
H102,5,755,Rural,High
H103,4,590,Suburban,Middle
H104,2,350,Urban,Low
H105,6,865,Rural,High
H106,3,475,Suburban,Middle
H107,5,760,Urban,High
H108,4,595,Rural,Middle
H109,2,355,Suburban,Low
H110,7,970,Urban,High
H111,3,480,Rural,Middle
H112,5,765,Suburban,High
H113,4,600,Urban,Middle
H114,2,360,Rural,Low
H115,6,875,Suburban,High
H116,3,485,Urban,Middle
H117,5,770,Rural,High
H118,4,605,Suburban,Middle
H119,2,365,Urban,Low
H120,7,980,Rural,High
H121,3,490,Suburban,Middle
H122,5,775,Urban,High
H123,4,610,Rural,Middle
H124,2,370,Suburban,Low
H125,6,885,Urban,High
H126,3,495,Rural,Middle
H127,5,780,Suburban,High
H128,4,615,Urban,Middle
H129,2,375,Rural,Low
H130,7,990,Suburban,High
H131,3,500,Urban,Middle
H132,5,785,Rural,High
H133,4,620,Suburban,Middle
H134,2,380,Urban,Low
H135,6,895,Rural,High
H136,3,505,Suburban,Middle
H137,5,790,Urban,High
H138,4,625,Rural,Middle
H139,2,385,Suburban,Low
H140,7,1000,Urban,High
H141,3,510,Rural,Middle
H142,5,795,Suburban,High
H143,4,630,Urban,Middle
H144,2,390,Rural,Low
H145,6,905,Suburban,High
H146,3,515,Urban,Middle
H147,5,800,Rural,High
H148,4,635,Suburban,Middle
H149,2,395,Urban,Low
H150,7,1015,Rural,High
H151,3,520,Suburban,Middle
H152,5,805,Urban,High
H153,4,640,Rural,Middle
H154,2,400,Suburban,Low
H155,6,915,Urban,High
H156,3,525,Rural,Middle
H157,5,810,Suburban,High
H158,4,645,Urban,Middle
H159,2,405,Rural,Low
H160,7,1025,Suburban,High
H161,3,530,Urban,Middle
H162,5,815,Rural,High
H163,4,650,Suburban,Middle
H164,2,410,Urban,Low
H165,6,925,Rural,High
H166,3,535,Suburban,Middle
H167,5,820,Urban,High
H168,4,655,Rural,Middle
H169,2,415,Suburban,Low
H170,7,1035,Urban,High
H171,3,540,Rural,Middle
H172,5,825,Suburban,High
H173,4,660,Urban,Middle
H174,2,420,Rural,Low
H175,6,935,Suburban,High
H176,3,545,Urban,Middle
H177,5,830,Rural,High
H178,4,665,Suburban,Middle
H179,2,425,Urban,Low
H180,7,1045,Rural,High
