Animal,Species,Weight (kg),Age (Years),Forest
Animal_001,Tiger,220,8,Sundarbans
Animal_002,Elephant,4200,25,Kaziranga
Animal_003,Deer,95,5,Jim Corbett
Animal_004,Leopard,70,7,Ranthambore
Animal_005,Bear,180,10,Bandipur
Animal_006,Monkey,28,6,Gir
Animal_007,Fox,12,4,Kanha
Animal_008,Wolf,42,8,Pench
Animal_009,Bison,680,12,Nagarhole
Animal_010,Rhino,2300,18,Kaziranga
Animal_011,Tiger,210,7,Sundarbans
Animal_012,Elephant,4100,24,Periyar
Animal_013,Deer,90,6,Jim Corbett
Animal_014,Leopard,72,8,Bandipur
Animal_015,Bear,185,11,Kanha
Animal_016,Monkey,30,5,Gir
Animal_017,Fox,13,3,Pench
Animal_018,Wolf,45,9,Nagarhole
Animal_019,Bison,700,13,Kaziranga
Animal_020,Rhino,2250,17,Kaziranga
Animal_021,Tiger,215,9,Sundarbans
Animal_022,Elephant,4300,26,Periyar
Animal_023,Deer,100,5,Jim Corbett
Animal_024,Leopard,75,7,Ranthambore
Animal_025,Bear,190,10,Bandipur
Animal_026,Monkey,29,4,Gir
Animal_027,Fox,14,5,Kanha
Animal_028,Wolf,43,8,Pench
Animal_029,Bison,690,11,Nagarhole
Animal_030,Rhino,2280,19,Kaziranga
Animal_031,Tiger,225,8,Sundarbans
Animal_032,Elephant,4250,27,Periyar
Animal_033,Deer,98,6,Jim Corbett
Animal_034,Leopard,73,7,Ranthambore
Animal_035,Bear,182,9,Bandipur
Animal_036,Monkey,31,6,Gir
Animal_037,Fox,12,4,Kanha
Animal_038,Wolf,44,8,Pench
Animal_039,Bison,705,12,Nagarhole
Animal_040,Rhino,2320,20,Kaziranga
Animal_041,Tiger,218,7,Sundarbans
Animal_042,Elephant,4150,24,Periyar
Animal_043,Deer,94,5,Jim Corbett
Animal_044,Leopard,71,6,Ranthambore
Animal_045,Bear,188,11,Bandipur
Animal_046,Monkey,27,5,Gir
Animal_047,Fox,13,3,Kanha
Animal_048,Wolf,46,9,Pench
Animal_049,Bison,710,13,Nagarhole
Animal_050,Rhino,2350,18,Kaziranga
Animal_051,Tiger,222,8,Sundarbans
Animal_052,Elephant,4180,23,Kaziranga
Animal_053,Deer,92,6,Jim Corbett
Animal_054,Leopard,74,7,Ranthambore
Animal_055,Bear,175,10,Bandipur
Animal_056,Monkey,32,5,Gir
Animal_057,Fox,15,4,Kanha
