Athlete,Country,Sport,Age,Height,Weight,Gold_Medals
Athlete_1,USA,Athletics,20,165,55,0
Athlete_2,India,Cricket,21,166,57,1
Athlete_3,China,Swimming,22,167,59,2
Athlete_4,Japan,Gymnastics,23,168,61,0
Athlete_5,Australia,Cycling,24,169,63,1
Athlete_6,Canada,Rowing,25,170,65,2
Athlete_7,Germany,Football,26,171,67,3
Athlete_8,Brazil,Volleyball,27,172,69,0
Athlete_9,France,Judo,28,173,71,1
Athlete_10,UK,Tennis,29,174,73,2
Athlete_11,USA,Athletics,30,175,75,3
Athlete_12,India,Cricket,31,176,77,0
Athlete_13,China,Swimming,32,177,79,1
Athlete_14,Japan,Gymnastics,19,178,81,2
Athlete_15,Australia,Cycling,20,179,83,3
Athlete_16,Canada,Rowing,21,180,85,0
Athlete_17,Germany,Football,22,181,87,1
Athlete_18,Brazil,Volleyball,23,182,89,2
Athlete_19,France,Judo,24,183,91,3
Athlete_20,UK,Tennis,25,184,93,0
Athlete_21,USA,Athletics,26,185,95,1
Athlete_22,India,Cricket,27,186,97,2
Athlete_23,China,Swimming,28,187,99,3
Athlete_24,Japan,Gymnastics,29,188,60,0
Athlete_25,Australia,Cycling,30,189,62,1
Athlete_26,Canada,Rowing,31,190,64,2
Athlete_27,Germany,Football,32,191,66,3
Athlete_28,Brazil,Volleyball,19,192,68,0
Athlete_29,France,Judo,20,193,70,1
Athlete_30,UK,Tennis,21,194,72,2
Athlete_31,USA,Athletics,22,165,74,3
Athlete_32,India,Cricket,23,166,76,0
Athlete_33,China,Swimming,24,167,78,1
Athlete_34,Japan,Gymnastics,25,168,80,2
Athlete_35,Australia,Cycling,26,169,82,3
Athlete_36,Canada,Rowing,27,170,84,0
Athlete_37,Germany,Football,28,171,86,1
Athlete_38,Brazil,Volleyball,29,172,88,2
Athlete_39,France,Judo,30,173,90,3
Athlete_40,UK,Tennis,31,174,92,0
Athlete_81,USA,Athletics,30,185,88,1
Athlete_82,India,Cricket,31,186,90,2
Athlete_83,China,Swimming,32,187,92,3
Athlete_84,Japan,Gymnastics,19,188,94,0
Athlete_85,Australia,Cycling,20,189,96,1
Athlete_86,Canada,Rowing,21,190,98,2
Athlete_87,Germany,Football,22,191,55,3
Athlete_88,Brazil,Volleyball,23,192,57,0
Athlete_89,France,Judo,24,193,59,1
Athlete_90,UK,Tennis,25,194,61,2
Athlete_91,USA,Athletics,26,165,63,3
Athlete_92,India,Cricket,27,166,65,0
Athlete_93,China,Swimming,28,167,67,1
Athlete_81,USA,Athletics,30,185,88,1
Athlete_82,India,Cricket,31,186,90,2
Athlete_83,China,Swimming,32,187,92,3
Athlete_84,Japan,Gymnastics,19,188,94,0
Athlete_85,Australia,Cycling,20,189,96,1
Athlete_86,Canada,Rowing,21,190,98,2
Athlete_87,Germany,Football,22,191,55,3
Athlete_88,Brazil,Volleyball,23,192,57,0
Athlete_89,France,Judo,24,193,59,1
Athlete_90,UK,Tennis,25,194,61,2
Athlete_91,USA,Athletics,26,165,63,3
Athlete_92,India,Cricket,27,166,65,0
Athlete_93,China,Swimming,28,167,67,1
Athlete_94,Japan,Gymnastics,29,168,69,2
Athlete_95,Australia,Cycling,30,169,71,3
Athlete_96,Canada,Rowing,31,170,73,0
Athlete_97,Germany,Football,32,171,75,1
Athlete_98,Brazil,Volleyball,19,172,77,2
Athlete_99,France,Judo,20,173,79,3
Athlete_100,UK,Tennis,21,174,81,0
Athlete_101,USA,Athletics,22,175,83,1
Athlete_102,India,Cricket,23,176,85,2
Athlete_103,China,Swimming,24,177,87,3
Athlete_104,Japan,Gymnastics,25,178,89,0
Athlete_105,Australia,Cycling,26,179,91,1
Athlete_106,Canada,Rowing,27,180,93,2
Athlete_107,Germany,Football,28,181,95,3
Athlete_108,Brazil,Volleyball,29,182,97,0
Athlete_109,France,Judo,30,183,99,1
Athlete_110,UK,Tennis,31,184,60,2
Athlete_111,USA,Athletics,32,185,62,3
Athlete_112,India,Cricket,19,186,64,0
Athlete_113,China,Swimming,20,187,66,1
Athlete_114,Japan,Gymnastics,21,188,68,2
Athlete_115,Australia,Cycling,22,189,70,3
Athlete_116,Canada,Rowing,23,190,72,0
Athlete_117,Germany,Football,24,191,74,1
Athlete_118,Brazil,Volleyball,25,192,76,2
Athlete_119,France,Judo,26,193,78,3
Athlete_120,UK,Tennis,27,194,80,0
