Order_ID,Customer_ID,Product_Category,Quantity,Unit_Price,Order_Date,Order Status
ORD0001,CUST1001,Electronics,2,499,03-01-2025,Delivered
ORD0002,CUST1002,Clothing,3,45,04-01-2025,Pending
ORD0003,CUST1003,Home & Kitchen,1,120,05-01-2025,Shipped
ORD0004,CUST1004,Books,4,20,06-01-2025,Cancelled
ORD0005,CUST1005,Beauty,2,35,07-01-2025,Returned
ORD0006,CUST1006,Sports,1,150,08-01-2025,Delivered
ORD0007,CUST1007,Electronics,5,80,09-01-2025,Shipped
ORD0008,CUST1008,Clothing,2,60,10-01-2025,Pending
ORD0009,CUST1009,Home & Kitchen,3,95,11-01-2025,Delivered
ORD0010,CUST1010,Beauty,1,40,12-01-2025,Cancelled
ORD0011,CUST1011,Electronics,2,650,13-01-2025,Returned
ORD0012,CUST1012,Sports,1,220,14-01-2025,Delivered
ORD0013,CUST1013,Books,6,15,15-01-2025,Pending
ORD0014,CUST1014,Clothing,4,55,16-01-2025,Shipped
ORD0015,CUST1015,Electronics,1,,17-01-2025,Delivered
ORD0016,CUST1016,Beauty,2,28,18-01-2025,Returned
ORD0017,CUST1017,Home & Kitchen,3,135,19-01-2025,Cancelled
ORD0018,CUST1018,Sports,2,180,20-01-2025,Delivered
ORD0019,CUST1019,Books,5,18,21-01-2025,Pending
ORD0020,CUST1020,Electronics,1,799,22-01-2025,Shipped
ORD0021,CUST1021,Clothing,2,48,23-01-2025,Delivered
ORD0022,CUST1022,Beauty,3,30,24-01-2025,Returned
ORD0023,CUST1023,Home & Kitchen,2,110,25-01-2025,Pending
ORD0024,CUST1024,Books,1,25,26-01-2025,Cancelled
ORD0025,CUST1025,Sports,4,95,27-01-2025,Delivered
ORD0026,CUST1026,Electronics,2,420,28-01-2025,Shipped
ORD0027,CUST1027,Clothing,5,35,29-01-2025,Delivered
ORD0028,CUST1028,Home & Kitchen,1,250,30-01-2025,Pending
ORD0029,CUST1029,Beauty,2,42,31-01-2025,Returned
ORD0030,CUST1030,Books,3,22,01-02-2025,Delivered
ORD0031,CUST1031,Electronics,1,899,02-02-2025,Cancelled
ORD0032,CUST1032,Clothing,2,70,03-02-2025,Shipped
ORD0033,CUST1033,Sports,1,,04-02-2025,Pending
ORD0034,CUST1034,Beauty,4,27,05-02-2025,Delivered
ORD0035,CUST1035,Home & Kitchen,2,145,06-02-2025,Returned
ORD0036,CUST1036,Books,5,19,07-02-2025,Delivered
ORD0037,CUST1037,Electronics,3,230,08-02-2025,Pending
ORD0038,CUST1038,Clothing,1,95,09-02-2025,Cancelled
ORD0039,CUST1039,Sports,2,260,10-02-2025,Shipped
ORD0040,CUST1040,Electronics,4,120,11-02-2025,Delivered
ORD0041,CUST1041,Home & Kitchen,3,99,12-02-2025,Returned
ORD0042,CUST1042,Beauty,2,38,13-02-2025,Pending
ORD0043,CUST1043,Books,1,16,14-02-2025,Delivered
ORD0044,CUST1044,Clothing,2,58,15-02-2025,Cancelled
ORD0045,CUST1045,Electronics,1,699,16-02-2025,Shipped
ORD0046,CUST1046,Sports,3,140,17-02-2025,Delivered
ORD0047,CUST1047,Beauty,2,45,18-02-2025,Pending
ORD0048,CUST1048,Home & Kitchen,4,85,19-02-2025,Returned
ORD0049,CUST1049,Books,2,21,20-02-2025,Delivered
ORD0050,CUST1050,Electronics,,540,21-02-2025,Shipped
ORD0151,CUST1151,Electronics,2,499,01-06-2025,Cancelled
ORD0152,CUST1152,Clothing,1,55,02-06-2025,Pending
ORD0153,CUST1153,Books,4,,03-06-2025,Delivered
ORD0154,CUST1154,Beauty,3,32,04-06-2025,Returned
ORD0155,CUST1155,Sports,2,145,05-06-2025,Delivered
ORD0156,CUST1156,Home & Kitchen,1,,06-06-2025,Shipped
ORD0157,CUST1157,Electronics,1,899,07-06-2025,Pending
ORD0158,CUST1158,Clothing,5,42,08-06-2025,Cancelled
ORD0159,CUST1159,Books,2,25,09-06-2025,Delivered
ORD0160,CUST1160,Beauty,2,39,10-06-2025,Returned
ORD0161,CUST1161,Sports,3,185,11-06-2025,Pending
ORD0162,CUST1162,Electronics,1,749,12-06-2025,Delivered
ORD0163,CUST1163,Home & Kitchen,4,95,13-06-2025,Shipped
ORD0164,CUST1164,Clothing,2,68,14-06-2025,Cancelled
ORD0165,CUST1165,Beauty,1,48,15-06-2025,Delivered
ORD0166,CUST1166,Books,6,15,16-06-2025,Returned
ORD0167,CUST1167,Electronics,2,520,17-06-2025,Pending
ORD0168,CUST1168,Sports,2,160,18-06-2025,Delivered
ORD0169,CUST1169,Home & Kitchen,3,110,19-06-2025,Shipped
ORD0170,CUST1170,Clothing,1,80,20-06-2025,Delivered
ORD0171,CUST1171,Electronics,1,999,21-06-2025,Cancelled
ORD0172,CUST1172,Beauty,3,28,22-06-2025,Returned
ORD0173,CUST1173,Books,2,22,23-06-2025,Pending
ORD0174,CUST1174,Sports,1,250,24-06-2025,Delivered
ORD0175,CUST1175,Home & Kitchen,,70,25-06-2025,Shipped
ORD0176,CUST1176,Electronics,3,380,26-06-2025,Delivered
ORD0177,CUST1177,Clothing,2,65,27-06-2025,Pending
ORD0178,CUST1178,Beauty,4,34,28-06-2025,Cancelled
ORD0179,CUST1179,Books,1,30,29-06-2025,Returned
ORD0180,CUST1180,Sports,2,195,30-06-2025,Delivered
ORD0181,CUST1181,Electronics,1,675,01-07-2025,Shipped
ORD0182,CUST1182,Clothing,3,48,02-07-2025,Pending
ORD0183,CUST1183,Home & Kitchen,2,140,03-07-2025,Delivered
ORD0184,CUST1184,Beauty,2,36,04-07-2025,Cancelled
ORD0185,CUST1185,Books,5,17,05-07-2025,Returned
ORD0186,CUST1186,Sports,1,225,06-07-2025,Delivered
ORD0187,CUST1187,Electronics,2,450,07-07-2025,Pending
ORD0188,CUST1188,Clothing,2,59,08-07-2025,Shipped
ORD0189,CUST1189,Home & Kitchen,3,98,09-07-2025,Delivered
ORD0190,CUST1190,Beauty,1,44,10-07-2025,Returned
ORD0191,CUST1191,Books,4,20,11-07-2025,Cancelled
ORD0192,CUST1192,Electronics,1,820,12-07-2025,Pending
ORD0193,CUST1193,Sports,2,170,13-07-2025,Delivered
ORD0194,CUST1194,Clothing,3,52,14-07-2025,Shipped
ORD0195,CUST1195,Home & Kitchen,1,155,15-07-2025,Returned
ORD0196,CUST1196,Beauty,2,41,16-07-2025,Delivered
ORD0197,CUST1197,Electronics,4,275,17-07-2025,Pending
ORD0198,CUST1198,Books,3,19,18-07-2025,Cancelled
ORD0199,CUST1199,Sports,2,130,19-07-2025,Shipped
ORD0200,CUST1200,Clothing,1,74,20-07-2025,Delivered
ORD0201,CUST1201,Electronics,2,610,21-07-2025,Returned
ORD0202,CUST1202,Beauty,3,29,22-07-2025,Pending
ORD0203,CUST1203,Home & Kitchen,2,102,23-07-2025,Delivered
ORD0204,CUST1204,Books,5,16,24-07-2025,Cancelled
ORD0205,CUST1205,Clothing,2,63,25-07-2025,Shipped
ORD0206,CUST1206,Sports,1,240,26-07-2025,Delivered
ORD0207,CUST1207,Electronics,3,325,27-07-2025,Pending
ORD0208,CUST1208,Beauty,2,47,28-07-2025,Returned
ORD0209,CUST1209,Home & Kitchen,4,88,29-07-2025,Delivered
ORD0210,CUST1210,Books,2,23,30-07-2025,Shipped
ORD0211,CUST1211,Electronics,1,940,31-07-2025,Cancelled
ORD0212,CUST1212,Clothing,2,71,01-08-2025,Pending
ORD0213,CUST1213,Sports,3,155,02-08-2025,Delivered
ORD0214,CUST1214,Beauty,1,38,03-08-2025,Returned
ORD0215,CUST1215,Home & Kitchen,2,132,04-08-2025,Delivered
ORD0216,CUST1216,Books,6,14,05-08-2025,Pending
ORD0217,CUST1217,Electronics,2,575,06-08-2025,Shipped
ORD0218,CUST1218,Clothing,1,84,07-08-2025,Cancelled
ORD0219,CUST1219,Beauty,3,33,08-08-2025,Delivered
ORD0220,CUST1220,Sports,2,205,09-08-2025,Returned
ORD0221,CUST1221,Electronics,1,780,10-08-2025,Pending
ORD0222,CUST1222,Home & Kitchen,3,115,11-08-2025,Delivered
ORD0223,CUST1223,Books,2,24,12-08-2025,Shipped
ORD0224,CUST1224,Clothing,4,49,13-08-2025,Delivered
ORD0225,CUST1225,Beauty,2,46,14-08-2025,Cancelled
ORD0226,CUST1226,Sports,1,185,15-08-2025,Returned
ORD0227,CUST1227,Electronics,2,690,16-08-2025,Pending
ORD0228,CUST1228,Home & Kitchen,1,170,17-08-2025,Delivered
ORD0229,CUST1229,Clothing,3,57,18-08-2025,Shipped
ORD0230,CUST1230,Books,4,21,19-08-2025,Delivered
ORD0231,CUST1231,Beauty,2,37,20-08-2025,Pending
ORD0232,CUST1232,Sports,2,165,21-08-2025,Cancelled
ORD0233,CUST1233,Electronics,1,845,22-08-2025,Returned
ORD0234,CUST1234,Clothing,2,61,23-08-2025,Delivered
ORD0235,CUST1235,Home & Kitchen,5,82,24-08-2025,Shipped
ORD0236,CUST1236,Beauty,1,52,25-08-2025,Pending
ORD0237,CUST1237,Books,3,18,26-08-2025,Delivered
ORD0238,CUST1238,Electronics,2,480,27-08-2025,Cancelled
ORD0239,CUST1239,Sports,1,210,28-08-2025,Returned
ORD0240,CUST1240,Clothing,2,66,29-08-2025,Delivered
ORD0241,CUST1241,Home & Kitchen,3,105,30-08-2025,Pending
ORD0242,CUST1242,Beauty,2,43,31-08-2025,Shipped
ORD0243,CUST1243,Electronics,1,925,01-09-2025,Delivered
ORD0244,CUST1244,Books,4,17,02-09-2025,Returned
ORD0245,CUST1245,Sports,2,178,03-09-2025,Cancelled
ORD0246,CUST1246,Clothing,3,53,04-09-2025,Pending
ORD0247,CUST1247,Home & Kitchen,2,126,05-09-2025,Delivered
ORD0248,CUST1248,Beauty,1,49,06-09-2025,Shipped
ORD0249,CUST1249,Electronics,2,565,07-09-2025,Returned
ORD0250,CUST1250,Books,5,20,08-09-2025,Delivered
ORD0002,CUST1002,Clothing,3,45,04-01-2025,Pending
,,,,,,Cancelled
,,,,,,Shipped
,,,,,,Delivered
,,,,,,Returned
,,,,,,Pending
,,,,,,Delivered
,,,,,,Cancelled
,,,,,,Shipped
,,,,,,Delivered
,,,,,,Pending
,,,,,,Returned
,,,,,,Delivered
,,,,,,Shipped
,,,,,,Cancelled
,,,,,,Pending
,,,,,,Delivered
,,,,,,Returned
,,,,,,Delivered
,,,,,,Pending
,,,,,,Shipped
,,,,,,Cancelled
,,,,,,Delivered
,,,,,,Returned
,,,,,,Pending
,,,,,,Delivered
,,,,,,Shipped
,,,,,,Delivered
,,,,,,Cancelled
,,,,,,Returned
,,,,,,Pending
,,,,,,Delivered
,,,,,,Shipped
,,,,,,Delivered
,,,,,,Pending
,,,,,,Cancelled
,,,,,,Returned
,,,,,,Delivered
,,,,,,Shipped
,,,,,,Pending
,,,,,,Delivered
,,,,,,Cancelled
,,,,,,Returned
,,,,,,Delivered
,,,,,,Pending
,,,,,,Shipped
,,,,,,Delivered
,,,,,,Returned
,,,,,,Cancelled
,,,,,,Pending
,,,,,,Delivered
,,,,,,Shipped
,,,,,,Returned
,,,,,,Delivered
,,,,,,Pending
,,,,,,Cancelled
,,,,,,Shipped
,,,,,,Delivered
,,,,,,Returned
,,,,,,Pending
,,,,,,Delivered
,,,,,,Cancelled
,,,,,,Shipped
,,,,,,Delivered
,,,,,,Pending
,,,,,,Returned
,,,,,,Delivered
,,,,,,Shipped
,,,,,,Cancelled
,,,,,,Pending
,,,,,,Delivered
,,,,,,Returned
,,,,,,Delivered
,,,,,,Pending
,,,,,,Shipped
,,,,,,Cancelled
