Day,Units_Consumed,Temperature,City
Day_001,245,32,Delhi
Day_002,260,34,Mumbai
Day_003,230,30,Chennai
Day_004,280,36,Bangalore
Day_005,300,38,Delhi
Day_006,220,29,Pune
Day_007,275,35,Mumbai
Day_008,310,39,Chennai
Day_009,255,33,Bangalore
Day_010,290,37,Delhi
Day_011,240,31,Pune
Day_012,320,40,Mumbai
Day_013,265,34,Chennai
Day_014,285,36,Bangalore
Day_015,305,38,Delhi
Day_016,235,30,Pune
Day_017,275,35,Mumbai
Day_018,315,41,Chennai
Day_019,250,32,Bangalore
Day_020,295,37,Delhi
Day_021,225,29,Pune
Day_022,335,42,Mumbai
Day_023,270,34,Chennai
Day_024,300,38,Bangalore
Day_025,290,36,Delhi
Day_026,245,31,Pune
Day_027,310,39,Mumbai
Day_028,280,35,Chennai
Day_029,325,40,Bangalore
Day_030,260,33,Delhi
Day_031,235,30,Pune
Day_032,295,37,Mumbai
Day_033,315,41,Chennai
Day_034,255,32,Bangalore
Day_035,285,36,Delhi
Day_036,220,28,Pune
Day_037,340,43,Mumbai
Day_038,275,35,Chennai
Day_039,305,38,Bangalore
Day_040,250,31,Delhi
Day_041,290,37,Pune
Day_042,330,42,Mumbai
Day_043,265,34,Chennai
Day_044,300,39,Bangalore
Day_045,240,30,Delhi
Day_046,315,40,Pune
Day_047,280,35,Mumbai
Day_048,325,41,Chennai
Day_049,255,33,Bangalore
Day_050,295,36,Delhi
Day_051,230,29,Pune
Day_052,345,44,Mumbai
Day_053,270,34,Chennai
Day_054,310,39,Bangalore
Day_055,285,36,Delhi
Day_056,250,32,Pune
Day_057,320,40,Mumbai
Day_058,260,33,Chennai
Day_059,300,38,Bangalore
Day_060,275,35,Delhi
Day_061,240,30,Pune
Day_062,335,42,Mumbai
Day_063,290,37,Chennai
Day_064,315,41,Bangalore
Day_065,255,32,Delhi
Day_066,280,36,Pune
Day_067,350,45,Mumbai
Day_068,265,34,Chennai
Day_069,305,39,Bangalore
Day_070,245,31,Delhi
Day_071,325,40,Pune
Day_072,285,36,Mumbai
Day_073,310,38,Chennai
Day_074,270,35,Bangalore
Day_075,295,37,Delhi
Day_076,235,29,Pune
Day_077,340,43,Mumbai
Day_078,260,33,Chennai
Day_079,315,41,Bangalore
Day_080,250,32,Delhi
Day_081,290,36,Pune
Day_082,330,42,Mumbai
Day_083,275,35,Chennai
Day_084,305,39,Bangalore
Day_085,240,30,Delhi
Day_086,320,40,Pune
Day_087,285,36,Mumbai
Day_088,345,44,Chennai
Day_089,255,33,Bangalore
Day_090,300,38,Delhi
Day_091,230,29,Pune
Day_092,335,42,Mumbai
Day_093,270,34,Chennai
Day_094,310,39,Bangalore
Day_095,280,35,Delhi
Day_096,245,31,Pune
Day_097,325,40,Mumbai
Day_098,265,34,Chennai
Day_099,295,37,Bangalore
