Applicant_ID,Age,Income,Credit_Score,Loan_Amount,Employment,Loan_Term,Loan_Approval
A001,25,35000,680,200000,Salaried,5,Yes
A002,32,50000,720,300000,Salaried,10,Yes
A003,45,60000,650,500000,Business,15,No
A004,28,40000,700,250000,Salaried,5,Yes
A005,52,75000,780,800000,Business,20,Yes
A006,30,45000,620,350000,Salaried,10,No
A007,38,55000,740,400000,Salaried,15,Yes
A008,41,65000,680,600000,Business,20,No
A009,26,32000,690,180000,Salaried,5,Yes
A010,50,90000,800,900000,Business,25,Yes
A011,35,48000,710,300000,Salaried,10,Yes
A012,29,37000,600,250000,Salaried,5,No
A013,55,85000,790,1000000,Business,20,Yes
A014,33,52000,730,450000,Salaried,15,Yes
A015,47,70000,640,700000,Business,20,No
A016,24,30000,670,150000,Salaried,5,Yes
A017,39,58000,750,500000,Salaried,15,Yes
A018,43,62000,660,550000,Business,20,No
A019,31,42000,690,280000,Salaried,10,Yes
A020,60,95000,820,1200000,Business,25,Yes
A021,36,51000,720,350000,Salaried,10,Yes
A022,27,34000,610,220000,Salaried,5,No
A023,48,80000,770,850000,Business,20,Yes
A024,34,47000,680,320000,Salaried,10,Yes
A025,42,66000,650,650000,Business,15,No
A026,29,39000,700,260000,Salaried,5,Yes
A027,53,88000,810,950000,Business,25,Yes
A028,37,54000,730,420000,Salaried,15,Yes
A029,46,72000,640,750000,Business,20,No
A030,23,28000,600,120000,Salaried,5,No
A031,40,59000,760,480000,Salaried,15,Yes
A032,51,82000,790,900000,Business,20,Yes
A033,28,36000,670,230000,Salaried,5,Yes
A034,44,68000,650,620000,Business,15,No
A035,35,50000,710,380000,Salaried,10,Yes
A036,57,92000,830,1100000,Business,25,Yes
A037,26,33000,640,200000,Salaried,5,No
A038,49,76000,780,850000,Business,20,Yes
A039,32,46000,690,310000,Salaried,10,Yes
A040,54,87000,800,1000000,Business,25,Yes
A041,30,41000,620,270000,Salaried,5,No
A042,43,64000,740,600000,Salaried,15,Yes
A043,58,98000,850,1300000,Business,30,Yes
A044,27,35000,660,210000,Salaried,5,Yes
A045,45,70000,630,680000,Business,20,No
A046,38,56000,750,450000,Salaried,15,Yes
A047,61,100000,860,1500000,Business,30,Yes
A048,25,31000,610,160000,Salaried,5,No
A049,50,78000,790,900000,Business,20,Yes
A050,36,53000,720,400000,Salaried,10,Yes
