Reading_ID,Temperature,Pressure,Battery_Level,Terrain_Type,Signal_Strength
1,-55.2,720,98,Rocky,82
2,-54.8,718,97,Sandy,81
3,-56.1,725,96,Rocky,80
4,-53.9,715,95,Valley,84
5,-52.7,710,94,Sandy,79
6,-57,730,93,Rocky,78
7,-51.8,705,92,Crater,83
8,-50.9,700,91,Valley,85
9,-55.5,722,90,Rocky,80
10,-54.2,716,89,Sandy,82
11,-53.6,712,88,Crater,84
12,-52.9,708,87,Valley,86
13,-56.4,728,86,Rocky,77
14,-57.2,732,85,Sandy,76
15,-51.5,703,84,Crater,85
16,-50.6,698,83,Valley,87
17,-54.9,719,82,Rocky,81
18,-55.7,724,81,Sandy,79
19,-53.1,711,80,Crater,83
20,-52.3,707,79,Valley,86
21,-56.8,731,78,Rocky,75
22,-57.5,734,77,Sandy,74
23,-51.2,702,76,Crater,88
24,-50.4,697,75,Valley,89
25,-54.6,717,74,Rocky,82
26,-55.9,726,73,Sandy,78
27,-53.4,713,72,Crater,84
28,-52.6,709,71,Valley,85
29,-56.6,729,70,Rocky,76
30,-57.8,736,69,Sandy,73
31,-51,701,68,Crater,87
32,-50.2,695,67,Valley,90
33,-54.4,714,66,Rocky,81
34,-55.3,721,65,Sandy,80
35,-53.8,710,64,Crater,83
36,-52.1,706,63,Valley,86
37,-56.9,733,62,Rocky,75
38,-57.3,735,61,Sandy,74
39,-51.7,704,60,Crater,88
40,-50.7,699,59,Valley,89
41,-54.1,718,58,Rocky,82
42,-55.6,723,57,Sandy,79
43,-53.3,712,56,Crater,84
44,-52.5,708,55,Valley,85
45,-56.2,727,54,Rocky,77
46,-57.6,737,53,Sandy,72
47,-51.4,700,52,Crater,87
48,-50.5,696,51,Valley,90
49,-54.7,716,50,Rocky,81
50,-55.1,720,49,Sandy,80
51,-53.7,714,48,Crater,83
52,-52.8,709,47,Valley,86
53,-56.5,730,46,Rocky,76
54,-57.9,738,45,Sandy,71
55,-51.6,703,44,Crater,88
56,-50.8,698,43,Valley,89
57,-54.3,717,42,Rocky,82
58,-55.8,725,41,Sandy,78
59,-53.2,711,40,Crater,84
60,-52.4,707,39,Valley,85
61,-56.7,732,38,Rocky,75
62,-57.4,734,37,Sandy,73
63,-51.3,701,36,Crater,87
64,-50.3,695,35,Valley,90
65,-54.5,715,34,Rocky,81
66,-55.4,722,33,Sandy,79
67,-53.5,713,32,Crater,83
68,-52,705,31,Valley,86
69,-56,728,30,Rocky,77
70,-57.7,736,29,Sandy,72
71,-51.1,702,28,Crater,88
72,-50.1,694,27,Valley,91
73,-54,716,26,Rocky,82
74,-55.2,723,25,Sandy,79
75,-53.9,712,24,Crater,84
76,-52.2,707,23,Valley,85
77,-56.3,729,22,Rocky,76
78,-57.1,733,21,Sandy,74
79,-51.9,704,20,Crater,87
80,-50.7,697,19,Valley,89
81,-54.8,719,18,Rocky,81
82,-55.5,724,17,Sandy,79
83,-53,710,16,Crater,84
84,-52.7,708,15,Valley,86
85,-56.6,731,14,Rocky,75
86,-57.5,735,13,Sandy,73
87,-51.4,701,12,Crater,88
88,-50.6,696,11,Valley,90
89,-54.2,717,10,Rocky,82
90,-55.7,726,9,Sandy,78
91,-53.6,713,8,Crater,83
92,-52.9,709,7,Valley,85
93,-56.4,728,6,Rocky,76
94,-57.8,737,5,Sandy,71
95,-51.5,703,4,Crater,87
96,-50.4,695,3,Valley,91
97,-54.6,718,2,Rocky,81
98,-55.9,725,1,Sandy,78
99,-53.4,711,65,Crater,84
100,-52.6,706,64,Valley,86
101,-54.7,720,63,Rocky,82
102,-55.3,724,62,Sandy,79
103,-53.5,712,61,Crater,84
104,-52.4,707,60,Valley,86
105,-56.8,731,59,Rocky,75
106,-57.6,736,58,Sandy,72
107,-51.3,702,57,Crater,88
108,-50.5,697,56,Valley,90
109,-54.1,718,55,Rocky,82
110,-55.8,725,54,Sandy,78
111,-53.2,711,53,Crater,84
112,-52.6,708,52,Valley,85
113,-56.5,729,51,Rocky,76
114,-57.9,738,50,Sandy,71
115,-51.7,704,49,Crater,87
116,-50.8,699,48,Valley,89
117,-54.4,716,47,Rocky,81
118,-55.6,723,46,Sandy,79
119,-53.8,713,45,Crater,83
120,-52.1,706,44,Valley,86
121,-56.9,733,43,Rocky,75
122,-57.4,735,42,Sandy,73
123,-51.1,701,41,Crater,88
124,-50.3,695,40,Valley,91
125,-54.6,717,39,Rocky,82
126,-55.4,722,38,Sandy,79
127,-53.7,714,37,Crater,84
128,-52.8,709,36,Valley,85
129,-56.2,728,35,Rocky,77
130,-57.7,737,34,Sandy,72
131,-51.5,703,33,Crater,87
132,-50.6,696,32,Valley,90
133,-54.2,718,31,Rocky,82
134,-55.7,726,30,Sandy,78
135,-53.3,711,29,Crater,84
136,-52.5,707,28,Valley,86
137,-56.6,730,27,Rocky,76
138,-57.8,739,26,Sandy,70
139,-51.4,702,25,Crater,88
140,-50.2,694,24,Valley,91
141,-54.5,715,23,Rocky,81
142,-55.9,724,22,Sandy,78
143,-53.1,710,21,Crater,84
144,-52.7,708,20,Valley,85
145,-56.7,732,19,Rocky,75
146,-57.5,736,18,Sandy,72
147,-51.8,704,17,Crater,87
148,-50.9,698,16,Valley,89
149,-54.3,717,15,Rocky,82
150,-55.5,723,14,Sandy,79
151,-53.6,712,13,Crater,83
152,-52.3,706,12,Valley,86
153,-56.4,729,11,Rocky,76
154,-57.9,738,10,Sandy,71
155,-51.6,703,9,Crater,88
156,-50.4,696,8,Valley,90
157,-54.7,719,7,Rocky,81
158,-55.2,725,6,Sandy,78
159,-53.4,711,5,Crater,84
160,-52.9,709,4,Valley,85
161,-56.8,731,3,Rocky,75
162,-57.6,737,2,Sandy,70
163,-51.2,702,1,Crater,87
164,-50.5,697,90,Valley,91
165,-54,716,89,Rocky,82
166,-55.8,724,88,Sandy,78
167,-53.7,713,87,Crater,83
168,-52.2,707,86,Valley,86
169,-56.3,728,85,Rocky,76
170,-57.4,735,84,Sandy,73
171,-51.9,704,83,Crater,87
172,-50.7,698,82,Valley,89
173,-54.4,718,81,Rocky,81
174,-55.6,723,80,Sandy,79
175,-53,710,79,Crater,84
176,-52.6,708,78,Valley,85
177,-56.5,730,77,Rocky,76
178,-57.8,738,76,Sandy,71
179,-51.4,701,75,Crater,88
180,-50.3,695,74,Valley,90
181,-54.6,717,73,Rocky,82
182,-55.4,722,72,Sandy,79
183,-53.5,713,71,Crater,83
184,-52.7,709,70,Valley,85
185,-56.7,732,69,Rocky,75
186,-57.3,734,68,Sandy,73
187,-51.7,703,67,Crater,87
188,-50.6,697,66,Valley,89
189,-54.2,716,65,Rocky,82
190,-55.9,725,64,Sandy,78
191,-53.3,711,63,Crater,84
192,-52.5,707,62,Valley,86
193,-56.6,729,61,Rocky,76
194,-57.7,737,60,Sandy,71
195,-51.5,702,59,Crater,88
196,-50.4,696,58,Valley,90
197,-54.8,718,57,Rocky,81
198,-55.7,724,56,Sandy,78
199,-53.1,710,55,Crater,84
200,-52.8,708,54,Valley,85
201,-54.5,719,53,Rocky,82
202,-55.6,723,52,Sandy,79
203,-53.4,712,51,Crater,84
204,-52.1,706,50,Valley,86
205,-56.9,733,49,Rocky,75
206,-57.8,738,48,Sandy,71
207,-51.6,703,47,Crater,88
208,-50.5,697,46,Valley,90
209,-54.3,717,45,Rocky,82
210,-55.8,725,44,Sandy,78
211,-53.2,711,43,Crater,84
212,-52.7,708,42,Valley,85
213,-56.6,730,41,Rocky,76
214,-57.5,736,40,Sandy,72
215,-51.4,702,39,Crater,87
216,-50.7,698,38,Valley,89
217,-54.1,718,37,Rocky,82
218,-55.5,724,36,Sandy,79
219,-53.6,713,35,Crater,83
220,-52.3,707,34,Valley,86
221,-56.4,729,33,Rocky,76
222,-57.9,738,32,Sandy,70
223,-51.8,704,31,Crater,88
224,-50.4,696,30,Valley,90
225,-54.7,719,29,Rocky,81
226,-55.3,722,28,Sandy,79
227,-53,710,27,Crater,84
228,-52.5,708,26,Valley,85
229,-56.7,731,25,Rocky,75
230,-57.6,735,24,Sandy,73
231,-51.2,701,23,Crater,87
232,-50.6,697,22,Valley,89
233,-54.2,716,21,Rocky,82
234,-55.9,726,20,Sandy,78
235,-53.5,712,19,Crater,83
236,-52.8,709,18,Valley,85
237,-56.3,728,17,Rocky,76
238,-57.7,737,16,Sandy,71
239,-51.5,703,15,Crater,88
240,-50.3,695,14,Valley,91
241,-54.6,717,13,Rocky,81
242,-55.7,724,12,Sandy,78
243,-53.3,711,11,Crater,84
244,-52.6,706,10,Valley,86
245,-56.8,732,9,Rocky,75
246,-57.4,734,8,Sandy,73
247,-51.7,704,7,Crater,87
248,-50.8,698,6,Valley,89
249,-54.4,718,5,Rocky,82
250,-55.4,723,4,Sandy,79
251,-53.7,714,3,Crater,83
252,-52.2,707,2,Valley,86
253,-56.5,729,1,Rocky,76
254,-57.8,738,95,Sandy,71
255,-51.3,702,94,Crater,88
256,-50.5,696,93,Valley,90
257,-54.8,719,92,Rocky,81
258,-55.6,725,91,Sandy,78
259,-53.1,710,90,Crater,84
260,-52.7,708,89,Valley,85
261,-56.6,731,88,Rocky,76
262,-57.5,736,87,Sandy,72
263,-51.6,703,86,Crater,87
264,-50.4,697,85,Valley,89
265,-54,717,84,Rocky,82
266,-55.8,724,83,Sandy,78
267,-53.4,712,82,Crater,83
268,-52.4,706,81,Valley,86
269,-56.7,730,80,Rocky,75
270,-57.6,737,79,Sandy,71
271,-51.1,701,78,Crater,88
272,-50.6,695,77,Valley,90
273,-54.3,716,76,Rocky,82
274,-55.7,723,75,Sandy,79
275,-53.2,711,74,Crater,84
276,-52.9,709,73,Valley,85
277,-56.4,728,72,Rocky,76
278,-57.9,738,71,Sandy,70
279,-51.5,702,70,Crater,88
280,-50.2,694,69,Valley,91
281,-54.5,718,68,Rocky,81
282,-55.4,722,67,Sandy,79
283,-53.6,713,66,Crater,83
284,-52.6,707,65,Valley,86
285,-56.9,733,64,Rocky,75
286,-57.3,735,63,Sandy,73
287,-51.8,704,62,Crater,87
288,-50.7,698,61,Valley,89
289,-54.1,717,60,Rocky,82
290,-55.5,724,59,Sandy,78
291,-53.3,712,58,Crater,84
292,-52.5,708,57,Valley,86
293,-56.6,730,56,Rocky,76
294,-57.7,737,55,Sandy,71
295,-51.4,701,54,Crater,88
296,-50.3,696,53,Valley,90
297,-54.7,719,52,Rocky,81
298,-55.8,725,51,Sandy,78
299,-53,710,50,Crater,84
300,-52.8,707,49,Valley,85
301,-54.4,718,48,Rocky,82
302,-55.7,724,47,Sandy,79
303,-53.5,712,46,Crater,84
304,-52.3,706,45,Valley,86
305,-56.8,731,44,Rocky,75
306,-57.5,736,43,Sandy,72
307,-51.4,703,42,Crater,87
308,-50.6,697,41,Valley,89
309,-54.2,717,40,Rocky,82
310,-55.9,725,39,Sandy,78
311,-53.1,710,38,Crater,84
312,-52.6,708,37,Valley,85
313,-56.5,729,36,Rocky,76
314,-57.8,738,35,Sandy,71
315,-51.7,704,34,Crater,88
316,-50.4,696,33,Valley,90
317,-54.6,719,32,Rocky,81
318,-55.4,723,31,Sandy,79
319,-53.7,713,30,Crater,83
320,-52.2,707,29,Valley,86
321,-56.9,733,28,Rocky,75
322,-57.6,735,27,Sandy,73
323,-51.2,701,26,Crater,87
324,-50.5,697,25,Valley,89
325,-54.3,717,24,Rocky,82
326,-55.8,724,23,Sandy,78
327,-53.4,711,22,Crater,84
328,-52.7,709,21,Valley,85
329,-56.6,730,20,Rocky,76
330,-57.4,737,19,Sandy,71
331,-51.5,702,18,Crater,88
332,-50.7,698,17,Valley,89
333,-54.1,718,16,Rocky,82
334,-55.6,723,15,Sandy,79
335,-53.2,712,14,Crater,84
336,-52.5,706,13,Valley,86
337,-56.7,731,12,Rocky,75
338,-57.7,736,11,Sandy,72
339,-51.8,704,10,Crater,87
340,-50.3,696,9,Valley,90
341,-54.5,717,8,Rocky,81
342,-55.3,722,7,Sandy,79
343,-53.6,713,6,Crater,83
344,-52.8,708,5,Valley,85
345,-56.4,729,4,Rocky,76
346,-57.9,738,3,Sandy,70
347,-51.3,702,2,Crater,88
348,-50.6,695,1,Valley,91
349,-54.8,719,95,Rocky,81
350,-55.5,724,94,Sandy,78
351,-53.3,711,93,Crater,84
352,-52.4,707,92,Valley,86
353,-56.6,732,91,Rocky,75
354,-57.5,734,90,Sandy,73
355,-51.6,703,89,Crater,87
356,-50.8,698,88,Valley,89
357,-54,716,87,Rocky,82
358,-55.7,725,86,Sandy,78
359,-53.5,712,85,Crater,83
360,-52.6,709,84,Valley,85
361,-56.8,730,83,Rocky,76
362,-57.3,736,82,Sandy,72
363,-51.4,701,81,Crater,88
364,-50.5,697,80,Valley,90
365,-54.4,718,79,Rocky,81
366,-55.8,724,78,Sandy,78
367,-53.1,710,77,Crater,84
368,-52.9,708,76,Valley,85
369,-56.5,729,75,Rocky,76
370,-57.8,737,74,Sandy,71
371,-51.7,704,73,Crater,87
372,-50.4,696,72,Valley,89
373,-54.6,717,71,Rocky,82
374,-55.4,723,70,Sandy,79
375,-53.7,713,69,Crater,83
