User_ID,Daily_Screen_Time ,Number_of_Apps,Age,Subscription_Type,City
U001,3.5,25,22,Premium,Delhi
U002,5.2,40,28,Basic,Mumbai
U003,2.1,18,19,Free,Pune
U004,6.5,55,35,Premium,Bangalore
U005,4,30,26,Basic,Jaipur
U006,7.2,65,42,Premium,Delhi
U007,1.8,15,20,Free,Chandigarh
U008,3.9,32,31,Basic,Mumbai
U009,5.8,48,27,Premium,Pune
U010,2.5,20,23,Free,Jaipur
U011,4.7,38,29,Basic,Delhi
U012,6.1,52,36,Premium,Bangalore
U013,3.2,24,21,Free,Mumbai
U014,5.5,45,33,Premium,Pune
U015,2.9,22,25,Basic,Chandigarh
U016,7.8,70,45,Premium,Delhi
U017,4.4,35,30,Basic,Jaipur
U018,1.5,12,18,Free,Mumbai
U019,6.8,60,40,Premium,Bangalore
U020,3.6,28,24,Basic,Pune
U021,5,42,32,Premium,Delhi
U022,2.3,19,22,Free,Jaipur
U023,4.8,36,27,Basic,Mumbai
U024,6.3,58,38,Premium,Chandigarh
U025,3,23,20,Free,Pune
U026,5.7,50,34,Premium,Delhi
U027,2.7,21,26,Basic,Bangalore
U028,4.2,33,29,Basic,Mumbai
U029,7,62,44,Premium,Jaipur
U030,1.9,16,19,Free,Chandigarh
U031,5.3,44,35,Premium,Pune
U032,3.8,31,28,Basic,Delhi
U033,6.6,57,41,Premium,Mumbai
U034,2.6,20,23,Free,Bangalore
U035,4.9,39,30,Basic,Jaipur
U036,7.5,68,46,Premium,Delhi
U037,3.3,26,24,Free,Pune
U038,5.9,49,37,Premium,Mumbai
U039,2.2,17,21,Basic,Chandigarh
U040,4.6,34,29,Basic,Delhi
U041,6.9,61,43,Premium,Bangalore
U042,3.1,25,22,Free,Jaipur
U043,5.6,47,33,Premium,Pune
U044,2.8,21,25,Basic,Mumbai
U045,4.3,37,31,Basic,Delhi
U046,7.3,66,47,Premium,Chandigarh
U047,1.7,14,18,Free,Pune
U048,5.1,43,36,Premium,Bangalore
U049,3.7,29,27,Basic,Jaipur
U050,6,53,39,Premium,Mumbai
U051,4.5,36,28,Basic,Delhi
U052,6.7,59,39,Premium,Mumbai
U053,2.4,18,21,Free,Pune
U054,5.4,46,34,Basic,Jaipur
U055,3.6,27,25,Free,Chandigarh
U056,7.1,64,43,Premium,Bangalore
U057,4.1,33,30,Basic,Delhi
U058,2,15,19,Free,Mumbai
U059,6.4,56,37,Premium,Pune
U060,5.8,51,32,Basic,Jaipur
U061,3.4,26,23,Free,Chandigarh
U062,7.6,72,48,Premium,Delhi
U063,4.9,41,29,Basic,Mumbai
U064,2.7,22,24,Free,Pune
U065,6.2,54,36,Premium,Bangalore
U066,3.8,30,27,Basic,Jaipur
U067,5.6,47,33,Premium,Delhi
U068,1.6,13,18,Free,Mumbai
U069,7.4,69,45,Premium,Chandigarh
U070,4.3,34,31,Basic,Pune
U071,5.2,44,35,Basic,Delhi
U072,2.9,23,22,Free,Jaipur
U073,6.9,63,41,Premium,Mumbai
U074,3.5,28,26,Basic,Bangalore
U075,4.7,39,29,Premium,Pune
U076,2.3,17,20,Free,Chandigarh
U077,5.9,52,38,Premium,Delhi
U078,3,24,25,Basic,Mumbai
U079,6.6,58,40,Premium,Jaipur
U080,4,31,27,Free,Pune
U081,7.7,73,49,Premium,Bangalore
U082,5.5,45,34,Basic,Delhi
U083,2.6,20,23,Free,Mumbai
U084,6.1,53,37,Premium,Chandigarh
U085,3.9,32,28,Basic,Jaipur
U086,4.8,40,30,Premium,Pune
U087,1.9,14,19,Free,Delhi
U088,6.8,60,42,Premium,Mumbai
U089,3.2,25,24,Basic,Bangalore
U090,5.7,49,35,Premium,Jaipur
U091,4.4,35,29,Basic,Chandigarh
U092,7.9,75,50,Premium,Delhi
U093,2.5,19,21,Free,Pune
U094,5.3,43,33,Basic,Mumbai
U095,6.5,57,39,Premium,Bangalore
U096,3.7,29,26,Free,Jaipur
U097,4.6,38,31,Basic,Delhi
U098,7,65,44,Premium,Chandigarh
U099,2.2,16,20,Free,Mumbai
U100,5.8,50,36,Premium,Pune
U101,4.2,34,28,Basic,Bangalore
U102,6.3,55,40,Premium,Delhi
U103,3.1,23,22,Free,Jaipur
U104,5.1,42,34,Basic,Mumbai
U105,7.2,67,46,Premium,Chandigarh
U106,2.8,21,24,Free,Pune
U107,4.9,40,30,Basic,Delhi
U108,6,52,38,Premium,Bangalore
U109,3.3,26,25,Free,Mumbai
U110,5.6,48,35,Basic,Jaipur
U111,7.5,70,47,Premium,Delhi
U112,4,32,27,Basic,Chandigarh
U113,2.1,15,19,Free,Pune
U114,6.7,59,41,Premium,Mumbai
U115,3.6,28,26,Basic,Bangalore
U116,5.4,45,33,Premium,Delhi
U117,2.7,20,23,Free,Jaipur
U118,7.8,74,49,Premium,Chandigarh
U119,4.8,37,31,Basic,Pune
U120,6.2,56,39,Premium,Mumbai
U121,3,22,21,Free,Delhi
U122,5.7,50,36,Basic,Bangalore
U123,4.3,33,29,Premium,Jaipur
U124,6.9,62,43,Premium,Pune
U125,2.4,18,20,Free,Mumbai
U126,5.5,46,34,Basic,Chandigarh
U127,7.3,68,45,Premium,Delhi
U128,3.8,30,27,Free,Bangalore
U129,6.4,57,38,Premium,Mumbai
U130,4.1,35,28,Basic,Pune
U131,5.9,51,37,Premium,Jaipur
U132,2.6,19,22,Free,Delhi
U133,7.6,71,48,Premium,Chandigarh
U134,3.5,27,25,Basic,Mumbai
U135,6.6,58,40,Premium,Bangalore
U136,4.5,36,30,Basic,Pune
U137,2,14,18,Free,Jaipur
U138,5.2,44,33,Premium,Delhi
U139,6.8,61,42,Premium,Mumbai
U140,3.9,31,26,Basic,Chandigarh
U141,7.4,69,46,Premium,Pune
U142,4.7,39,29,Basic,Bangalore
U143,2.3,17,21,Free,Delhi
U144,5.8,53,35,Premium,Jaipur
U145,6.1,55,38,Basic,Mumbai
U146,3.4,25,24,Free,Pune
U147,7.7,73,50,Premium,Chandigarh
U148,4.6,37,31,Basic,Delhi
U149,5.5,47,34,Premium,Bangalore
U150,2.9,22,23,Free,Mumbai
U151,4.2,34,28,Basic,Delhi
U152,6.5,58,39,Premium,Mumbai
U153,2.3,17,20,Free,Pune
U154,5.6,48,35,Basic,Jaipur
U155,3.7,29,26,Free,Chandigarh
U156,7.8,74,49,Premium,Bangalore
U157,4.4,36,30,Basic,Delhi
U158,1.8,14,19,Free,Mumbai
U159,6.3,55,37,Premium,Pune
U160,5.1,43,32,Basic,Jaipur
U161,3.2,24,23,Free,Chandigarh
U162,7.4,68,45,Premium,Delhi
U163,4.9,41,29,Basic,Mumbai
U164,2.6,20,24,Free,Pune
U165,6.7,60,38,Premium,Bangalore
U166,3.5,27,27,Basic,Jaipur
U167,5.8,50,34,Premium,Delhi
U168,1.7,13,18,Free,Mumbai
U169,7.6,72,47,Premium,Chandigarh
U170,4,32,31,Basic,Pune
U171,5.3,45,35,Basic,Delhi
U172,2.4,18,21,Free,Jaipur
U173,6.9,63,42,Premium,Mumbai
U174,3.6,28,25,Basic,Bangalore
U175,4.7,39,29,Premium,Pune
U176,2.1,16,20,Free,Chandigarh
U177,5.9,52,37,Premium,Delhi
U178,3.1,23,24,Basic,Mumbai
U179,6.6,59,40,Premium,Jaipur
U180,4.3,35,28,Free,Pune
U181,7.9,76,50,Premium,Bangalore
U182,5.5,46,33,Basic,Delhi
U183,2.8,21,22,Free,Mumbai
U184,6.2,54,36,Premium,Chandigarh
U185,3.9,31,27,Basic,Jaipur
U186,4.8,40,30,Premium,Pune
U187,1.9,15,19,Free,Delhi
U188,6.8,61,43,Premium,Mumbai
U189,3.4,26,25,Basic,Bangalore
U190,5.7,49,34,Premium,Jaipur
U191,4.6,37,29,Basic,Chandigarh
U192,7.5,70,48,Premium,Delhi
U193,2.5,19,21,Free,Pune
U194,5.4,44,33,Basic,Mumbai
U195,6.4,57,39,Premium,Bangalore
U196,3.3,25,24,Free,Jaipur
U197,7.2,66,46,Premium,Delhi
U198,4.5,36,31,Basic,Chandigarh
U199,5.9,51,35,Premium,Mumbai
U200,2.7,22,23,Free,Pune
