Title,Genre,Language,Rating,Duration,Release Year
Red Notice,Action,English,6.3,118,2021
The Gray Man,Action,English,6.5,129,2022
Extraction,Action,English,6.7,117,2020
Bird Box,Thriller,English,6.6,124,2018
Glass Onion,Mystery,English,,139,2022
The Adam Project,Sci-Fi,English,6.7,106,2022
Enola Holmes,Mystery,English,6.6,123,2020
Enola Holmes 2,Mystery,English,6.8,129,2022
Army of the Dead,Horror,English,5.8,148,2021
The Platform,Thriller,Spanish,7,94,2019
Lupin,Crime,French,7.5,115,2021
Roma,Drama,Spanish,,135,2018
The Irishman,Crime,English,7.8,209,2019
Marriage Story,Drama,English,7.9,137,2019
Klaus,Animation,English,8.2,96,2019
The Mitchells vs The Machines,Animation,English,7.6,113,2021
Vivo,Animation,English,6.7,103,2021
The Sea Beast,Animation,English,7,115,2022
Hustle,Sports Drama,English,7.3,117,2022
The Swimmers,Drama,Arabic,7.4,134,2022
Darlings,Drama,Hindi,6.6,134,2022
Jogi,Drama,Hindi,7.1,116,2022
Monica O My Darling,Crime,Hindi,7.4,129,2022
Chor Nikal Ke Bhaga,Thriller,Hindi,6.5,110,2023
Mission Majnu,Action,Hindi,7,129,2023
Qala,Drama,Hindi,7.2,119,2022
RRR,Action,Telugu,8,182,2022
Baahubali 2,Action,Telugu,8.2,168,2017
Vikram,Action,Tamil,8.3,174,2022
Sooryavanshi,Action,Hindi,6.1,145,2021
Minnal Murali,Superhero,Malayalam,7.8,158,2021
Kurup,Crime,Malayalam,7,155,2021
Drishyam 2,Thriller,Malayalam,8.4,152,2021
Jersey,Sports Drama,Hindi,,170,2022
Ludo,Comedy,Hindi,7.6,150,2020
Pagglait,Drama,Hindi,6.9,114,2021
AK vs AK,Comedy,Hindi,6.9,108,2020
Bulbbul,Horror,Hindi,6.5,94,2020
Kaali Khuhi,Horror,Hindi,3.4,90,2020
Cargo,Sci-Fi,Hindi,6,113,2020
Interceptor,Action,English,4.6,99,2022
Project Power,Sci-Fi,English,6,113,2020
Oxygen,Sci-Fi,French,6.5,100,2021
Don't Look Up,Comedy,English,7.2,138,2021
Tick Tick Boom,Musical,English,7.5,115,2021
The Harder They Fall,Western,English,6.6,139,2021
The Harder They Falld,Drama,English,6.6,109,2021
The Guilty,Thriller,English,6.3,90,2021
Beckett,Thriller,English,5.7,109,2021
Malcolm & Marie,Drama,English,6.6,106,2021
Mank,Drama,English,6.8,131,2020
The Wonder,Drama,English,6.6,108,2022
White Noise,Comedy,English,5.7,136,2022
Leave the World Behind,Thriller,English,,141,2023
Fair Play,Drama,English,6.4,113,2023
The Killer,Crime,English,6.7,118,2023
Maestro,Drama,English,6.7,129,2023
Nyad,Biography,English,,121,2023
Society of the Snow,Survival,Spanish,7.8,144,2023
Rebel Moon,Sci-Fi,English,5.6,134,2023
The Harder They Fall,Animation,English,7,102,2023
,,,,,
,,,,,
