Delivery_ID,Restaurant,Distance (km),Delivery_Time (min),Delivery_Partner,Rating
D001,Pizza Hub,3.2,32,Rahul,4.5
D002,Burger Point,5.1,45,Amit,4.2
D003,Spice Garden,2.4,28,Ravi,4.7
D004,Food Corner,6.8,55,Suresh,3.9
D005,Tasty Treats,4.5,38,Mohan,4.4
D006,Pizza Hub,7.2,62,Rahul,3.8
D007,Burger Point,3.8,35,Amit,4.6
D008,Spice Garden,1.9,22,Ravi,4.8
D009,Food Corner,8.4,70,Suresh,3.5
D010,Tasty Treats,5.6,48,Mohan,4.1
D011,Pizza Hub,2.7,30,Rahul,4.6
D012,Burger Point,4.9,42,Amit,4.3
D013,Spice Garden,3.1,33,Ravi,4.7
D014,Food Corner,7.5,60,Suresh,3.7
D015,Tasty Treats,6.2,52,Mohan,4
D016,Pizza Hub,4,36,Rahul,4.5
D017,Burger Point,2.5,27,Amit,4.8
D018,Spice Garden,5.8,50,Ravi,4.2
D019,Food Corner,9.1,85,Suresh,3.4
D020,Tasty Treats,3.6,34,Mohan,4.6
D021,Pizza Hub,5.4,46,Rahul,4.3
D022,Burger Point,6.3,54,Amit,4
D023,Spice Garden,2.2,25,Ravi,4.9
D024,Food Corner,8.7,76,Suresh,3.6
D025,Tasty Treats,4.8,41,Mohan,4.4
D026,Pizza Hub,3.5,31,Rahul,4.7
D027,Burger Point,7,59,Amit,3.9
D028,Spice Garden,2.8,29,Ravi,4.8
D029,Food Corner,6.5,56,Suresh,3.8
D030,Tasty Treats,5,44,Mohan,4.2
D031,Pizza Hub,4.3,37,Rahul,4.5
D032,Burger Point,3.9,36,Amit,4.6
D033,Spice Garden,6.1,53,Ravi,4.1
D034,Food Corner,9.5,88,Suresh,3.3
D035,Tasty Treats,2.6,26,Mohan,4.8
D036,Pizza Hub,5.7,49,Rahul,4.3
D037,Burger Point,4.2,39,Amit,4.5
D038,Spice Garden,7.6,64,Ravi,3.9
D039,Food Corner,3.3,30,Suresh,4.4
D040,Tasty Treats,6.9,57,Mohan,4
D041,Pizza Hub,2.1,24,Rahul,4.9
D042,Burger Point,5.5,47,Amit,4.2
D043,Spice Garden,3.7,35,Ravi,4.6
D044,Food Corner,8.9,79,Suresh,3.5
D045,Tasty Treats,4.6,40,Mohan,4.4
D046,Pizza Hub,6.4,55,Rahul,4
D047,Burger Point,2.9,28,Amit,4.8
D048,Spice Garden,5.2,45,Ravi,4.3
D049,Food Corner,7.8,66,Suresh,3.7
D050,Tasty Treats,3.4,32,Mohan,4.6
D051,Pizza Hub,4.7,42,Rahul,4.4
D052,Burger Point,6.6,58,Amit,3.9
D053,Spice Garden,1.8,21,Ravi,4.9
D054,Food Corner,9.2,84,Suresh,3.4
D055,Tasty Treats,5.9,51,Mohan,4.1
D056,Pizza Hub,3,29,Rahul,4.7
D057,Burger Point,7.3,61,Amit,3.8
D058,Spice Garden,4.1,37,Ravi,4.5
D059,Food Corner,6.7,56,Suresh,3.9
D060,Tasty Treats,2.3,25,Mohan,4.8
D061,Pizza Hub,5.3,46,Rahul,4.3
D062,Burger Point,8.1,69,Amit,3.6
D063,Spice Garden,3.6,34,Ravi,4.6
D064,Food Corner,9.7,92,Suresh,3.2
D065,Tasty Treats,4.4,39,Mohan,4.5
D066,Pizza Hub,6,52,Rahul,4.1
D067,Burger Point,2.7,27,Amit,4.8
D068,Spice Garden,5.6,48,Ravi,4.2
D069,Food Corner,7.4,63,Suresh,3.7
D070,Tasty Treats,3.8,35,Mohan,4.6
D071,Pizza Hub,4.9,43,Rahul,4.4
D072,Burger Point,6.2,55,Amit,4
D073,Spice Garden,2,23,Ravi,4.9
D074,Food Corner,8.6,74,Suresh,3.5
D075,Tasty Treats,5.4,47,Mohan,4.2
D076,Pizza Hub,3.1,30,Rahul,4.7
D077,Burger Point,7.7,65,Amit,3.8
D078,Spice Garden,4.5,40,Ravi,4.5
D079,Food Corner,9,82,Suresh,3.4
D080,Tasty Treats,2.9,28,Mohan,4.8
D081,Pizza Hub,5.8,50,Rahul,4.2
D082,Burger Point,6.9,60,Amit,3.9
D083,Spice Garden,3.4,32,Ravi,4.6
D084,Food Corner,8.3,72,Suresh,3.6
D085,Tasty Treats,4.2,38,Mohan,4.4
D086,Pizza Hub,7.1,61,Rahul,4
D087,Burger Point,2.4,26,Amit,4.8
D088,Spice Garden,5,44,Ravi,4.3
D089,Food Corner,9.4,87,Suresh,3.3
D090,Tasty Treats,3.7,34,Mohan,4.6
D091,Pizza Hub,6.5,57,Rahul,4.1
D092,Burger Point,4.6,41,Amit,4.5
D093,Spice Garden,2.6,27,Ravi,4.8
D094,Food Corner,7.9,68,Suresh,3.7
D095,Tasty Treats,5.5,49,Mohan,4.2
D096,Pizza Hub,3.9,36,Rahul,4.6
D097,Burger Point,8.8,78,Amit,3.5
