Order ID,Product,Category,City,Price,Quantity,Discount
O001,Laptop,Electronics,Delhi,55000,1,10
O002,Mobile,Electronics,Mumbai,25000,2,5
O003,Headphones,Electronics,Pune,3000,3,15
O004,T-Shirt,Clothing,Bangalore,1200,4,10
O005,Jeans,Clothing,Chennai,2000,2,5
O006,Shoes,Footwear,Delhi,3500,1,20
O007,Watch,Accessories,Mumbai,4500,2,10
O008,Bag,Accessories,Pune,1800,3,5
O009,Tablet,Electronics,Bangalore,30000,1,8
O010,Printer,Electronics,Chennai,9000,1,12
O011,Laptop,Electronics,Delhi,56000,2,10
O012,Mobile,Electronics,Mumbai,24000,1,7
O013,Headphones,Electronics,Pune,3200,2,15
O014,T-Shirt,Clothing,Bangalore,1100,5,10
O015,Jeans,Clothing,Chennai,2200,3,5
O016,Shoes,Footwear,Delhi,3700,2,18
O017,Watch,Accessories,Mumbai,5000,1,10
O018,Bag,Accessories,Pune,2000,4,5
O019,Tablet,Electronics,Bangalore,31000,2,8
O020,Printer,Electronics,Chennai,8500,1,10
O021,Laptop,Electronics,Delhi,58000,1,12
O022,Mobile,Electronics,Mumbai,26000,2,6
O023,Headphones,Electronics,Pune,3500,2,15
O024,T-Shirt,Clothing,Bangalore,1300,4,8
O025,Jeans,Clothing,Chennai,2100,2,5
O026,Shoes,Footwear,Delhi,3600,3,15
O027,Watch,Accessories,Mumbai,4700,2,10
O028,Bag,Accessories,Pune,1900,3,5
O029,Tablet,Electronics,Bangalore,32000,1,10
O030,Printer,Electronics,Chennai,8700,2,12
O031,Laptop,Electronics,Delhi,59000,1,10
O032,Mobile,Electronics,Mumbai,25500,3,5
O033,Headphones,Electronics,Pune,3100,2,10
O034,T-Shirt,Clothing,Bangalore,1400,5,12
O035,Jeans,Clothing,Chennai,2300,2,5
O036,Shoes,Footwear,Delhi,3800,1,18
O037,Watch,Accessories,Mumbai,4900,2,8
O038,Bag,Accessories,Pune,2100,4,5
O039,Tablet,Electronics,Bangalore,33000,1,10
O040,Printer,Electronics,Chennai,9200,2,10
O041,Laptop,Electronics,Delhi,60000,2,15
O042,Mobile,Electronics,Mumbai,27000,1,8
O043,Headphones,Electronics,Pune,3400,3,10
O044,T-Shirt,Clothing,Bangalore,1500,4,10
O045,Jeans,Clothing,Chennai,2400,2,5
O046,Shoes,Footwear,Delhi,3900,2,20
,Watch,Accessories,Mumbai,5100,1,10
O048,Bag,Accessories,Pune,2200,5,5
O049,Tablet,Electronics,Bangalore,34000,2,12
O050,Printer,Electronics,Chennai,9500,1,10
O051,Laptop,Electronics,Delhi,61000,1,15
O052,Mobile,Electronics,Mumbai,28000,2,10
O053,Headphones,Electronics,Pune,3600,2,12
O054,T-Shirt,Clothing,Bangalore,1600,3,8
O055,Jeans,Clothing,Chennai,2500,2,5
O056,Shoes,Footwear,Delhi,4000,2,18
O057,Watch,Accessories,Mumbai,5300,1,10
O058,Bag,Accessories,Pune,2300,4,5
O059,Tablet,Electronics,Bangalore,35000,1,10
O060,Printer,Electronics,Chennai,9800,2,15
O061,Laptop,Electronics,Delhi,62000,2,12
O062,Mobile,Electronics,Mumbai,29000,1,8
O063,Headphones,Electronics,Pune,3700,3,10
O064,T-Shirt,Clothing,Bangalore,1700,4,10
O065,Jeans,Clothing,Chennai,2600,2,5
O066,Shoes,Footwear,Delhi,4200,1,20
O067,Watch,Accessories,Mumbai,5500,2,12
O068,Bag,Accessories,Pune,2400,5,5
O069,Tablet,Electronics,Bangalore,36000,2,10
O070,Printer,Electronics,Chennai,9900,1,8
O071,Laptop,Electronics,Delhi,63000,1,15
O072,Mobile,Electronics,Mumbai,30000,2,10
O073,Headphones,Electronics,Pune,3800,2,15
O074,T-Shirt,Clothing,Bangalore,1800,3,10
O075,Jeans,Clothing,Chennai,2700,2,5
O076,Shoes,Footwear,Delhi,4300,2,18
O077,Watch,Accessories,Mumbai,5700,1,10
O078,Bag,Accessories,Pune,2500,4,5
O079,Tablet,Electronics,Bangalore,37000,1,12
O080,Printer,Electronics,Chennai,10000,2,10
O081,Laptop,Electronics,Delhi,64000,2,15
O082,Mobile,Electronics,Mumbai,31000,1,8
O083,Headphones,Electronics,Pune,3900,3,12
O084,T-Shirt,Clothing,Bangalore,1900,5,10
O085,Jeans,Clothing,Chennai,2800,2,5
O086,Shoes,Footwear,Delhi,4400,1,20
O087,Watch,Accessories,Mumbai,5900,2,10
O088,Bag,Accessories,Pune,2600,4,5
O089,Tablet,Electronics,Bangalore,38000,2,10
O090,Printer,Electronics,Chennai,10200,1,12
O091,Laptop,Electronics,Delhi,65000,1,15
O092,Mobile,Electronics,Mumbai,32000,2,10
O093,Headphones,Electronics,Pune,4000,2,15
O094,T-Shirt,Clothing,Bangalore,2000,4,8
O095,Jeans,Clothing,Chennai,2900,3,5
O096,Shoes,Footwear,Delhi,4500,2,18
O097,Watch,Accessories,Mumbai,6000,1,10
O098,Bag,Accessories,Pune,2700,5,5
O099,Tablet,Electronics,Bangalore,39000,1,10
O100,Printer,Electronics,Chennai,10500,2,15
