Booking_ID,Movie,Seat_Type,Ticket_Price,Number_of_Tickets,Booking_Day
B001,Avatar 2,Regular,12,2,Monday
B002,Oppenheimer,Premium,18,3,Tuesday
B003,Barbie,VIP,25,2,Wednesday
B004,Jawan,Regular,10,4,Thursday
B005,Leo,Premium,16,2,Friday
B006,Salaar,VIP,22,3,Saturday
B007,Animal,Regular,11,1,Sunday
B008,Dunki,Premium,17,2,Monday
B009,Pathaan,VIP,24,4,Tuesday
B010,Fighter,Regular,13,3,Wednesday
B011,Avatar 2,Premium,18,2,Thursday
B012,Oppenheimer,VIP,26,2,Friday
B013,Barbie,Regular,11,3,Saturday
B014,Jawan,Premium,17,1,Sunday
B015,Leo,VIP,23,4,Monday
B016,Salaar,Regular,12,2,Tuesday
B017,Animal,Premium,18,3,Wednesday
B018,Dunki,VIP,24,2,Thursday
B019,Pathaan,Regular,10,5,Friday
B020,Fighter,Premium,16,2,Saturday
B021,Avatar 2,VIP,25,1,Sunday
B022,Oppenheimer,Regular,12,4,Monday
B023,Barbie,Premium,18,2,Tuesday
B024,Jawan,VIP,22,3,Wednesday
B025,Leo,Regular,11,2,Thursday
B026,Salaar,Premium,17,4,Friday
B027,Animal,VIP,24,2,Saturday
B028,Dunki,Regular,10,3,Sunday
B029,Pathaan,Premium,18,2,Monday
B030,Fighter,VIP,26,4,Tuesday
B031,Avatar 2,Regular,13,2,Wednesday
B032,Oppenheimer,Premium,17,3,Thursday
B033,Barbie,VIP,25,2,Friday
B034,Jawan,Regular,10,4,Saturday
B035,Leo,Premium,16,1,Sunday
B036,Salaar,VIP,23,3,Monday
B037,Animal,Regular,12,2,Tuesday
B038,Dunki,Premium,18,4,Wednesday
B039,Pathaan,VIP,24,2,Thursday
B040,Fighter,Regular,11,5,Friday
B041,Avatar 2,Premium,18,2,Saturday
B042,Oppenheimer,VIP,25,3,Sunday
B043,Barbie,Regular,10,2,Monday
B044,Jawan,Premium,17,4,Tuesday
B045,Leo,VIP,22,2,Wednesday
B046,Salaar,Regular,13,3,Thursday
B047,Animal,Premium,18,1,Friday
B048,Dunki,VIP,24,4,Saturday
B049,Pathaan,Regular,11,2,Sunday
B050,Fighter,Premium,16,3,Monday
B051,Avatar 2,VIP,25,2,Tuesday
B052,Oppenheimer,Regular,12,4,Wednesday
B053,Barbie,Premium,18,2,Thursday
B054,Jawan,VIP,23,3,Friday
B055,Leo,Regular,10,1,Saturday
B056,Salaar,Premium,17,4,Sunday
B057,Animal,VIP,24,2,Monday
B058,Dunki,Regular,11,3,Tuesday
B059,Pathaan,Premium,18,2,Wednesday
B060,Fighter,VIP,26,4,Thursday
B061,Avatar 2,Regular,12,2,Friday
B062,Oppenheimer,Premium,16,3,Saturday
B063,Barbie,VIP,24,2,Sunday
B064,Jawan,Regular,10,5,Monday
B065,Leo,Premium,18,2,Tuesday
B066,Salaar,VIP,22,3,Wednesday
B067,Animal,Regular,13,1,Thursday
B068,Dunki,Premium,17,2,Friday
B069,Pathaan,VIP,25,4,Saturday
B070,Fighter,Regular,11,3,Sunday
B071,Avatar 2,Premium,18,2,Monday
B072,Oppenheimer,VIP,24,3,Tuesday
B073,Barbie,Regular,10,2,Wednesday
B074,Jawan,Premium,16,4,Thursday
B075,Leo,VIP,23,2,Friday
B076,Salaar,Regular,12,3,Saturday
B077,Animal,Premium,17,1,Sunday
B078,Dunki,VIP,25,4,Monday
B079,Pathaan,Regular,11,2,Tuesday
B080,Fighter,Premium,18,3,Wednesday
B081,Avatar 2,VIP,24,2,Thursday
B082,Oppenheimer,Regular,10,5,Friday
B083,Barbie,Premium,16,2,Saturday
B084,Jawan,VIP,22,3,Sunday
B085,Leo,Regular,12,1,Monday
B086,Salaar,Premium,18,4,Tuesday
B087,Animal,VIP,25,2,Wednesday
B088,Dunki,Regular,11,3,Thursday
B089,Pathaan,Premium,17,2,Friday
B090,Fighter,VIP,24,4,Saturday
B091,Avatar 2,Regular,13,2,Sunday
B092,Oppenheimer,Premium,18,3,Monday
B093,Barbie,VIP,26,2,Tuesday
B094,Jawan,Regular,10,4,Wednesday
B095,Leo,Premium,16,2,Thursday
B096,Salaar,VIP,23,3,Friday
B097,Animal,Regular,12,1,Saturday
B098,Dunki,Premium,17,2,Sunday
B099,Pathaan,VIP,24,4,Monday
B100,Fighter,Regular,11,3,Tuesday
B101,Avatar 2,Premium,18,2,Wednesday
B102,Oppenheimer,VIP,25,3,Thursday
B103,Barbie,Regular,11,2,Friday
B104,Jawan,Premium,17,4,Saturday
B105,Leo,VIP,24,2,Sunday
B106,Salaar,Regular,12,3,Monday
B107,Animal,Premium,18,1,Tuesday
B108,Dunki,VIP,26,4,Wednesday
B109,Pathaan,Regular,10,2,Thursday
B110,Fighter,Premium,16,3,Friday
B111,Avatar 2,VIP,23,2,Saturday
B112,Oppenheimer,Regular,11,5,Sunday
B113,Barbie,Premium,17,2,Monday
B114,Jawan,VIP,25,3,Tuesday
B115,Leo,Regular,12,1,Wednesday
B116,Salaar,Premium,18,4,Thursday
B117,Animal,VIP,24,2,Friday
